distrito,ano,concelho,data,hora,mortos,feridos_graves,via,km,natureza,source_file
Aveiro,2004,Agueda,2004-03-01,08:10:00,1,0,Rua do Alverca,,Despiste simples,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-01-11,19:50:00,1,1,EN1,238.400,Colisão frontal,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-06-19,18:20:00,0,3,EM,,Colisão frontal,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-06-25,17:21:00,0,1,EM,,Col. lat. c/veic. em mov.,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-06-30,08:00:00,0,1,R. Cavadas,,Col. traseira c/veic. em mov.,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-06-28,17:20:00,1,0,IC2,225.800,Despiste simples,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-08-17,13:15:00,0,1,R. Carmeleiras de Cima,,Col. lat. c/veic. em mov.,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-02-18,18:30:00,1,0,EN1,242.400,Atropelamento de peões,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-08-04,17:45:00,0,2,IC2,229.200,Colisão frontal,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-08-20,21:00:00,0,1,EM573,,Col. lat. c/veic. em mov.,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-08-20,21:05:00,0,1,EM,,Col. c/veic. ou obst.faixa rod.,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-04-09,16:55:00,0,1,R. Cabedo,,Col. lat. c/veic. em mov.,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-08-02,17:30:00,0,1,R.da Igreja,,Atropelamento de peões,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-02-26,09:45:00,0,1,R. Cabedo Lencastre,,Atropelamento de peões,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-02-08,17:45:00,0,1,EM574,,Colisão frontal,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-08-22,11:00:00,0,1,EN1,239.400,Col. lat. c/veic. em mov.,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-02-05,20:00:00,0,1,EN1,244.500,Col. lat. c/veic. em mov.,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-10-23,14:15:00,0,2,EN1,224.000,Despiste simples,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-12-11,17:10:00,0,1,EN230,16.500,Desp. c/capotamento,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-03-10,19:00:00,0,1,EN1,234.000,Colisão choque em cadeia,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-10-30,15:30:00,2,2,IP5,35.175,Colisão frontal,Aveiro 2004.pdf
Aveiro,2004,Agueda,2004-03-20,20:20:00,0,1,EN333,32.200,Desp. c/capotamento,Aveiro 2004.pdf
