,,,,,,,,,,Ind. Gravidade,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos Graves,,,nº mortos / 100 acid.c/,
,,,,,,,,,,vítimas,
,,,,,,,,,,,
,,,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98,1998,1999
,,,%,,,,,,,,
Jan,3769,3448,"-8,5",140,110,-30,631,602,-29,"3,84","3,19"
,,,,,,,,,,,
Fev,3624,3379,"-6,8",148,125,-23,615,535,-80,"4,23","3,70"
,,,,,,,,,,,
Mar,4446,3851,"-13,4",167,151,-16,739,635,-104,"3,89","3,92"
,,,,,,,,,,,
1ºTrim,11839,10678,"-9,8",455,386,-69,1985,1772,-213,"3,98","3,61"
,,,,,,,,,,,
Abr,3750,3966,"5,8",140,139,-1,618,625,7,"3,85","3,50"
,,,,,,,,,,,
Mai,3860,4165,"7,9",140,129,-11,670,636,-34,"3,74","3,10"
,,,,,,,,,,,
Jun,4170,4210,"1,0",157,157,0,703,659,-44,"3,89","3,73"
,,,,,,,,,,,
2ºTrim,11780,12341,"4,8",437,425,-12,1991,1920,-71,"3,83","3,44"
,,,,,,,,,,,
Jul,4852,4544,"-6,3",173,156,-17,786,729,-57,"3,68","3,43"
,,,,,,,,,,,
Ago,4658,4594,"-1,4",182,182,0,724,747,23,"4,05","3,96"
,,,,,,,,,,,
Set,4462,4023,"-9,8",156,153,-3,714,649,-65,"3,61","3,80"
,,,,,,,,,,,
3ºTrim,13972,13161,"-5,8",511,491,-20,2224,2125,-99,"3,78","3,73"
,,,,,,,,,,,
Out,4093,4013,"-2,0",150,139,-11,670,709,39,"3,80","3,46"
,,,,,,,,,,,
Nov,3762,3862,"2,7",146,150,4,619,564,-55,"4,02","3,88"
,,,,,,,,,,,
Dez,3873,3911,"1,0",166,159,-7,688,607,-81,"4,46","4,07"
,,,,,,,,,,,
4ºTrim,11728,11786,"0,5",462,448,-14,1977,1880,-97,"4,09","3,80"
,,,,,,,,,,,
Total,49319,47966,"-2,7",1865,1750,-115,8177,7697,-480,"3,91","3,65"
