,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos Graves,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
,,,,,,,,,
PSP,16667,15859,-808,249,256,7,3083,2744,-339
,,,,,,,,,
Janeiro,1395,1204,-191,25,20,-5,258,224,-34
,,,,,,,,,
Fevereiro,1347,1252,-95,18,17,-1,259,232,-27
,,,,,,,,,
Março,1696,1352,-344,35,15,-20,320,248,-72
,,,,,,,,,
Abril,1329,1325,-4,21,12,-9,243,218,-25
,,,,,,,,,
Maio,1276,1394,118,15,19,4,256,226,-30
,,,,,,,,,
Junho,1371,1384,13,24,23,-1,256,228,-28
,,,,,,,,,
Julho,1517,1381,-136,17,29,12,265,242,-23
,,,,,,,,,
Agosto,1227,1231,4,15,24,9,221,218,-3
,,,,,,,,,
Setembro,1523,1218,-305,18,23,5,276,212,-64
,,,,,,,,,
Outubro,1417,1427,10,27,31,4,255,267,12
,,,,,,,,,
Novembro,1308,1357,49,20,18,-2,248,204,-44
,,,,,,,,,
Dezembro,1261,1334,73,14,25,11,226,225,-1
,,,,,,,,,
GNR,32652,32107,-545,1616,1494,-122,5094,4953,-141
,,,,,,,,,
Janeiro,2374,2244,-130,115,90,-25,373,378,5
,,,,,,,,,
Fevereiro,2277,2127,-150,130,108,-22,356,303,-53
,,,,,,,,,
Março,2750,2499,-251,132,136,4,419,387,-32
,,,,,,,,,
Abril,2421,2641,220,119,127,8,375,407,32
,,,,,,,,,
Maio,2584,2771,187,125,110,-15,414,410,-4
,,,,,,,,,
Junho,2799,2826,27,133,134,1,447,431,-16
,,,,,,,,,
Julho,3335,3163,-172,156,127,-29,521,487,-34
,,,,,,,,,
Agosto,3431,3363,-68,167,158,-9,503,529,26
,,,,,,,,,
Setembro,2939,2805,-134,138,130,-8,438,437,-1
,,,,,,,,,
Outubro,2676,2586,-90,123,108,-15,415,442,27
,,,,,,,,,
Novembro,2454,2505,51,126,132,6,371,360,-11
,,,,,,,,,
Dezembro,2612,2577,-35,152,134,-18,462,382,-80
