,Até 1 ano,,,2 anos,,,3 a 4 anos,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Velocípedes,123,141,18,44,65,21,79,76,-3
,,,,,,,,,
Ciclomotores,2532,1832,-700,1053,954,-99,1906,1304,-602
,,,,,,,,,
Motociclos,1989,1850,-139,655,804,149,1019,1023,4
,,,,,,,,,
Veículos ligeiros,9393,9905,512,4819,5080,261,8823,8020,-803
,,,,,,,,,
Veículos pesados,460,506,46,283,309,26,426,467,41
,,,,,,,,,
Outros veículos,84,42,-42,43,12,-31,65,35,-30
,,,,,,,,,
Sub-total,14581,14276,-305,6897,7224,327,12318,10925,-1393
,,,,,,,,,
,,,,,,,,,
,5 a 9 anos,,,10 a 14 anos,,,15 a 20 anos,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
,192,184,-8,87,97,10,48,55,7
,,,,,,,,,
Ciclomotores,4950,3317,-1633,1475,1914,439,706,619,-87
,,,,,,,,,
Motociclos,1348,1447,99,259,313,54,69,61,-8
,,,,,,,,,
Veículos ligeiros,20543,20372,-171,9145,10303,1158,2941,2813,-128
,,,,,,,,,
Veículos pesados,1284,1177,-107,688,846,158,467,429,-38
,,,,,,,,,
Outros veículos,197,93,-104,100,122,22,88,66,-22
,,,,,,,,,
Sub-total,28514,26590,-1924,11754,13595,1841,4319,4043,-276
,,,,,,,,,
,,,,,,,,,
,Mais de 20 anos,,,Não definido,,,Total,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
,909,38,-871,262,1128,866,1744,1784,40
,,,,,,,,,
Ciclomotores,852,354,-498,12,431,419,13486,10725,-2761
,,,,,,,,,
Motociclos,274,72,-202,3,146,143,5616,5716,100
,,,,,,,,,
Veículos ligeiros,2221,793,-1428,32,553,521,57868,57839,-29
,,,,,,,,,
Veículos pesados,255,210,-45,2,51,49,3310,3995,685
,,,,,,,,,
Outros veículos,321,69,-252,66,212,146,1568,651,-917
,,,,,,,,,
Sub-total,4832,1536,-3296,377,2521,2144,83592,80710,-2882
,,,,,,,,,
