,Passageiros vítimas,,,,,,,,
,,,,,,,,,
,Feminino,,,Masculino,,,Total (1),,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Vítimas mortais,164,154,-10,275,229,-46,439,383,-56
,,,,,,,,,
<=14,22,16,-6,32,16,-16,54,32,-22
15-17,18,11,-7,25,15,-10,43,26,-17
18-20,18,15,-3,38,33,-5,56,48,-8
21-24,19,13,-6,37,44,7,56,57,1
25-29,10,8,-2,38,34,-4,48,42,-6
30-34,5,7,2,20,15,-5,25,22,-3
35-49,22,26,4,28,26,-2,50,52,2
50-64,18,30,12,30,24,-6,48,54,6
>=65,32,28,-4,27,22,-5,59,50,-9
Feridos Graves,863,999,136,1123,1044,-79,1987,2045,58
,,,,,,,,,
<=14,116,108,-8,150,134,-16,266,243,-23
15-17,73,68,-5,110,88,-22,183,156,-27
18-20,78,110,32,158,190,32,236,300,64
21-24,99,96,-3,155,152,-3,254,248,-6
25-29,73,105,32,130,141,11,203,246,43
30-34,62,60,-2,94,74,-20,156,134,-22
35-49,136,186,50,160,131,-29,296,317,21
50-64,130,156,26,87,80,-7,218,236,18
>=65,96,110,14,79,54,-25,175,165,-10
Feridos Leves,9126,10088,962,9408,8430,-978,18540,18532,-8
,,,,,,,,,
<=14,1354,1418,64,1624,1464,-160,2980,2887,-93
15-17,632,636,4,799,745,-54,1433,1381,-52
18-20,894,999,105,1267,1235,-32,2163,2234,71
21-24,996,1087,91,1300,1149,-151,2296,2238,-58
25-29,870,973,103,970,969,-1,1840,1943,103
30-34,599,680,81,673,585,-88,1272,1267,-5
35-49,1582,1790,208,1267,1169,-98,2849,2963,114
50-64,1352,1526,174,898,638,-260,2250,2164,-86
>=65,847,979,132,610,476,-134,1457,1455,-2
