,,Acidentes com vítimas,,,Mortos,,,Feridos graves,,
,,1998,1999,"99/98
%",1998,1999,"99/98
%",1998,1999,"99/98
%"
,Braga,3481,3239,"-7,0",139,108,"-22,3",320,283,"-11,6"
REGIÃO,Bragança,514,432,"-16,0",40,25,"-37,5",117,98,"-16,2"
NORTE,Porto,7269,7359,"1,2",192,204,"6,3",481,460,"-4,4"
,V.Castelo,1046,1134,"8,4",47,65,"38,3",89,102,"14,6"
,Vila Real,833,695,"-16,6",48,42,"-12,5",112,106,"-5,4"
,,13143,12859,"-2,2",466,444,"-4,7",1119,1049,"-6,3"
,Aveiro,4132,4086,"-1,1",137,122,"-10,9",638,553,"-13,3"
,C.Branco,713,783,"9,8",46,62,"34,8",165,179,"8,5"
REGIÃO,Coimbra,2555,2654,"3,9",102,88,"-13,7",275,206,"-25,1"
CENTRO,Guarda,647,670,"3,6",59,42,"-28,8",151,112,"-25,8"
,Leiria,3286,3263,"-0,7",136,128,"-5,9",568,575,"1,2"
,Viseu,1610,1570,"-2,5",107,81,"-24,3",251,206,"-17,9"
,,12943,13026,"0,6",587,523,"-10,9",2048,1831,"-10,6"
REGIÃO DE,Lisboa,10689,10012,"-6,3",242,244,"0,8",2135,1959,"-8,2"
LISBOA,Santarém,2962,2886,"-2,6",116,117,"0,9",1112,1084,"-2,5"
E VALE TEJO,Setúbal,4222,3883,"-8,0",173,154,"-11,0",815,855,"4,9"
,,17873,16781,"-6,1",531,515,"-3,0",4062,3898,"-4,0"
,Beja,792,835,"5,4",61,64,"4,9",155,166,"7,1"
REGIÃO DO,Évora,898,941,"4,8",50,52,"4,0",239,244,"2,1"
ALENTEJO,Portalegre,624,604,"-3,2",38,38,"0,0",187,164,"-12,3"
,,2314,2380,"2,9",149,154,"3,4",581,574,"-1,2"
R. ALGARVE,Faro,3046,2920,"-4,1",132,114,"-13,6",367,345,"-6,0"
,,,,,,,,,,
Média,,2740,2665,"-1,7",104,97,"-5,0",454,428,"-6,1"
