,,"População
(1)","Acidentes
com
vítimas","Acid. c/
vítimas por
1000 hab.",Mortos,"Feridos
graves","Mortos e
f. graves","m+f.graves
por 1000 hab."
,Braga,796160,3239,"4,07",108,283,391,"0,49"
REGIÃO,Bragança,147720,432,"2,92",25,98,123,"0,83"
NORTE,Porto,1714690,7359,"4,29",204,460,664,"0,39"
,V.Castelo,250690,1134,"4,52",65,102,167,"0,67"
,Vila Real,112960,695,"6,15",42,106,148,"1,31"
,,3022220,12859,"4,25",444,1049,1493,"0,49"
,Aveiro,689100,4086,"5,93",122,553,675,"0,98"
,C.Branco,199890,783,"3,92",62,179,241,"1,21"
REGIÃO,Coimbra,420410,2654,"6,31",88,206,294,"0,70"
CENTRO,Guarda,176220,670,"3,80",42,112,154,"0,87"
,Leiria,435340,3263,"7,50",128,575,703,"1,61"
,Viseu,399320,1570,"3,93",81,206,287,"0,72"
,,2320280,13026,"5,61",523,1831,2354,"1,01"
REGIÃO DE,Lisboa,2056100,10012,"4,87",244,1959,2203,"1,07"
LISBOA,Santarém,437850,2886,"6,59",117,1084,1201,"2,74"
E VALE TEJO,Setúbal,744700,3883,"5,21",154,855,1009,"1,35"
,,3238650,16781,"5,18",515,3898,4413,"1,36"
,Beja,153150,835,"5,45",64,166,230,"1,50"
REGIÃO DO,Évora,166330,941,"5,66",52,244,296,"1,78"
ALENTEJO,Portalegre,123070,604,"4,91",38,164,202,"1,64"
,,442550,2380,"5,38",154,574,728,"1,65"
R. ALGARVE,Faro,349740,2920,"8,35",114,345,459,"1,31"
Média,,,2665,5.2,97,428,525,1.2
