,Acidentes c/,Acidentes com,Acidentes,,,
,vítimas,mortos e/ou,com mortos,Mortos,Feridos,Feridos
,,f. graves,,,graves,leves
,,,,,,
REGIÃO NORTE,12859,1232,412,444,1049,16776
,,,,,,
Dentro Localidade,9694,838,237,255,727,12263
,,,,,,
Fora Localidade,3165,394,175,189,322,4513
,,,,,,
Braga,3239,325,101,108,283,4306
,,,,,,
Dentro Localidade,2279,222,56,61,196,2900
,,,,,,
Fora Localidade,960,103,45,47,87,1406
,,,,,,
Bragança,432,101,24,25,98,504
,,,,,,
Dentro Localidade,245,57,4,4,64,248
,,,,,,
Fora Localidade,187,44,20,21,34,256
,,,,,,
Porto,7359,560,193,204,460,9556
,,,,,,
Dentro Localidade,6106,450,144,151,371,7784
,,,,,,
Fora Localidade,1253,110,49,53,89,1772
,,,,,,
V. Castelo,1134,131,56,65,102,1472
,,,,,,
Dentro Localidade,646,47,22,28,32,829
,,,,,,
Fora Localidade,488,84,34,37,70,643
,,,,,,
V. Real,695,115,38,42,106,938
,,,,,,
Dentro Localidade,418,62,11,11,64,502
,,,,,,
Fora Localidade,277,53,27,31,42,436
,,,,,,
