Distrito do Porto (continuação),,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
IC1,"2,500","2,700",6,14,1,1,6,128
IC1,"10,880","11,050",5,12,0,0,10,30
IC1,"299,900","300,100",5,10,0,0,7,21
IC1,"302,000","302,200",6,13,0,0,8,24
IC1,"330,000","330,200",7,9,1,1,7,131
IC2,"297,200","297,350",5,11,0,0,8,24
IC24,"14,700","14,900",6,10,1,0,6,118
IP1,"298,800","299,000",5,11,2,1,4,222
,,Total:,235,470,14,17,316,
,,,,,,,,
Distrito de Viana do Castelo,,,,,,,,
,,,,,,,,
EN101,"3,000","3,170",5,5,1,0,5,115
EN101,"14,300","14,500",5,9,1,0,6,118
EN13,"63,900","64,100",8,13,1,2,6,138
EN13,"82,200","82,300",6,14,0,0,15,45
EN13,"93,400","93,500",5,8,0,0,7,21
EN202,"1,200","1,400",7,14,0,0,10,30
EN202,"1,650","1,800",7,13,0,0,8,24
EN202,"4,500","4,700",6,11,1,0,5,115
,,Total:,49,87,4,2,62,
Distrito de Vila Real,,,,,,,,
,,,,,,,,
IP4,"80,400","80,600",6,12,1,3,10,160
IP4,"81,100","81,100",9,14,4,4,18,494
IP4,"83,965","84,100",8,12,0,0,20,60
,,Total:,23,38,5,7,48,
,,,,,,,,
