,Acidentes,Acidentes com,Acidentes,,,
,com vítimas,mortos e/ou,com mortos,Mortos,Feridos,Feridos
,,f. graves,,,graves,leves
,,,,,,
REGIÃO LISBOA E VALE TEJO,16781,3589,464,515,3898,18704
,,,,,,
Dentro Localidade,11925,2441,218,238,2612,12633
,,,,,,
Fora Localidade,4856,1148,246,277,1286,6071
,,,,,,
Lisboa,10012,1879,223,244,1959,11208
,,,,,,
Dentro Localidade,7935,1519,138,153,1588,8539
,,,,,,
Fora Localidade,2077,360,85,91,371,2669
,,,,,,
Santarém,2886,928,103,117,1084,2933
,,,,,,
Dentro Localidade,1653,501,38,42,570,1562
,,,,,,
Fora Localidade,1233,427,65,75,514,1371
,,,,,,
Setúbal,3883,782,138,154,855,4563
,,,,,,
Dentro Localidade,2337,421,42,43,454,2532
,,,,,,
Fora Localidade,1546,361,96,111,401,2031
,,,,,,
