REGIÃO DO ALGARVE,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Ou,t Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,147,193,211,265,256,298,338,345,244,217,214,192,2920
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,20,24,34,41,32,41,37,35,35,32,28,21,380
,,,,,,,,,,,,,,
Faro,Acid.com mortos,3,5,5,7,9,9,6,11,15,9,9,7,95
,,,,,,,,,,,,,,
,Mortos,3,5,6,12,10,12,9,11,20,9,10,7,114
,,,,,,,,,,,,,,
,F.Graves,21,20,35,36,25,33,46,33,28,31,21,16,345
,,,,,,,,,,,,,,
,F.Leves,164,226,227,310,303,340,419,448,283,250,234,217,3421
,,,,,,,,,,,,,,
