,,,Veículos de instrução,,,,,,,
,,,Motoc.,Ligeiros.,Pesados,,,Tractores,Ciclom.,Total
,,,,,C,D,E,,,
,,Braga,138,388,39,11,19,10,5,610
,REGIÃO,Bragança,30,58,15,3,11,4,2,123
,NORTE,Porto,208,677,71,15,19,10,3,1003
,,V.Castelo,53,118,14,8,9,7,1,210
,,Vila Real,42,95,16,3,8,3,2,169
,,,471,1333,155,40,66,34,13,2115
,,Aveiro,101,287,36,5,21,6,9,465
,,C.Branco,37,85,15,4,10,2,3,156
,REGIÃO,Coimbra,83,243,31,7,21,5,3,393
,CENTRO,Guarda,38,88,26,2,11,4,4,173
,,Leiria,81,197,29,5,26,4,10,352
,,Viseu,72,208,37,11,24,6,4,362
,,,412,1108,174,34,113,27,33,1901
,,Lisboa,301,946,81,15,35,22,12,1412
,REGIÃO LISBOA,Santarém,81,207,46,7,26,10,3,380
,V. TEJO,Setúbal,100,256,23,4,17,5,5,410
,,,482,1409,150,26,78,37,20,2202
,,Beja,40,72,17,4,14,7,3,157
,REGIÃO,Évora,36,80,14,4,8,7,4,153
,ALENTEJO,Portalegre,26,51,12,1,5,5,2,102
,,,102,203,43,9,27,19,9,412
,R. ALGARVE,Faro,90,163,19,7,10,5,17,311
,TOTAL,,1557,4216,541,116,294,122,92,6941
