,,1995,,1996,,1997,,1998,,,
,,,,,,,,,,1999,
,,,,,,,,,,,
,,,%,,%,,%,,%,,%
Ligeiros,,3.195.098,"93,3",3.426.482,"93,6",3.683.057,"94,0",3.956.995,"94,1",4.240.692,"94,2"
Pesados,,135.964,"4,0",135.990,"3,7",134.746,"3,4",135.970,"3,2",142.371,"3,2"
Mercadorias,,122.283,"3,6",123.088,"3,4",122.220,"3,1",123.118,"2,9",128.935,"2,9"
Passageiros,,13.681,"0,4",12.902,"0,4",12.526,"0,3",12.852,"0,3",13.436,"0,3"
Motociclos,,92752,"2,7",97150,"2,7",100.363,"2,6",111.771,"2,7",120.964,"2,7"
Total,,3.423.814,"100,0",3.659.622,"100,0",3.918.166,"100,0",4.204.736,"100,0",4.504.027,"100,0"
,"Veículos/1000
habitantes",364,,388,,415,,445,,,
,,,,,,,,,,476,
,"Hab. / veíc.
ligeiros passag.","2,9",,"2,8",,"2,6",,"2,4",,,
,,,,,,,,,,"2,2",
