,,Ligeiros,,,,Pesados,,,,Motociclos,,Total,
,,Passag.,%,Comerciais,%,Mercad.,%,"Passag
.",%,,%,,%
Até 1 ano,,274.333,,121.338,,6.850,,631,,21.823,,424.975,
1 a 2 anos,,251.681,,114.807,,5.699,,695,,17.818,,390.700,
2 a 3 anos,,219.769,,99.428,,5.022,,944,,14.551,,339.714,
3 a 4 anos,,226.983,,82.029,,4.100,,950,,9.774,,323.836,
Sub-total,,972.766,"29,94",417.602,"42,10",21.671,"16,81",3.220,"23,97",63.966,"52,88",1.479.225,"32,84"
4 a 5 anos,,213.631,,64.606,,6.100,,909,,8.168,,293.414,
5 a 10 anos,,1.232.291,,360.398,,40.701,,3.636,,38.655,,1.675.681,
Sub-total,,1.445.922,"44,51",425.004,"42,85",46.801,"36,30",4.545,"33,83",46.823,"38,71",1.969.095,"43,72"
10 a 15 anos,,657.676,,131.240,,31.061,,2.057,,8.972,,831.006,
15 a 20 anos,,168.198,,17.481,,19.700,,2.391,,967,,208.737,
Sub-total,,825.874,"25,42",148.721,"14,99",50.761,"39,37",4.448,"33,11",9.939,"8,22",1.039.743,"23,08"
Mais 20 anos,,4.198,"0,13",605,"0,06",9.702,"7,52",1.223,"9,10",236,,15.964,"0,35"
,,,,,,,,,,,,,
Total,,3.248.760,,991.932,,128.935,,13.436,,120.964,,4.504.027,
,Idade média,"7,0",,"5,0",,"10,2",,"13,0",,"4,5",,,
,,,,,,,,,,,,,
