TIPO DE INFRACÇÃO,,NÚMERO
Infracções Muito Graves,Infracções Muito Graves,
,"Condução sob efeito do álcool (superior a 0,8 g/l)",7.581
,Excesso de velocidade >60Km /hora,3.361
,Ultrapassagem proibida,1.253
,Utilização dos máximos no cruzamento c/ outros veículos,813
,Marcha-atrás em auto-estrada,334
,Paragem ou estacionamento proibido,251
,Sub-total,13.593
Infracções Graves,Infracções Graves,
,Excesso de velocidade entre 30-60 km/hora,61.613
,Desrespeito da(s) linha(s) contínua(s) delimitadoras dos sentidos de trânsito,23.401
,Desrespeito da obrigação de parar,22.377
,Desrespeito dos sinais de proibição,9.276
,"Condução sob efeito do álcool (entre 0,5 g/l e 0,8 g/l)",6.265
,Utilização interdita de luzes e/ou iluminação,5.264
,Sub-total,128.196
Infracções Leves,Infracções Leves,
,Paragem ou estacionamento proibidos,241.000
,Excesso de velocidade até 30 km/hora,59.653
,Não utilização do cinto de segurança,53.042
,Condução de veículos sem ser portador da carta de condução,40.473
,Não sujeição a inspecção periódica no prazo legal,28.973
,"Utilização, durante a marcha, de auscultadores sonoros",14.126
,Sub-total,437.267
