,CONTRA-ORDENAÇÕES,,,
,M. Graves,Graves,Leves,
,,,,Total
,,,,
Janeiro,998,15624,57838,74460
,,,,
Fevereiro,1007,13691,54947,69645
,,,,
Março,1165,17452,73584,92201
,,,,
Abril,1005,15248,60369,76622
,,,,
Maio,951,12393,51195,64539
,,,,
Junho,1126,13156,50685,64967
,,,,
Julho,1379,14993,58982,75354
,,,,
Agosto,1390,17164,61753,80307
,,,,
Setembro,1613,19131,65938,86682
,,,,
Outubro,1301,14371,56904,72576
,,,,
Novembro,1200,14101,58745,74046
,,,,
Dezembro,1291,13731,52415,67437
,,,,
Total,14.426,181.055,703.355,
,,,,898.836
,,,,
