,,,,,,,,
,,,,CONTRA-ORDENAÇÕES,,,,
,,,,,,,,
,,,,M. Graves,,Graves,Leves,Total
,,Braga,,991,,10720,46698,58409
,,,,991,,,,
REGIÃO,,Bragança,,201,,2497,12016,14714
,,,,201,,,,
NORTE,,Porto,,1640,,21017,117406,140063
,,,,1640,,,,
,,V. Castelo,,541,,3878,15722,20141
,,,,541,,,,
,,Vila Real,,414,,6722,18783,25919
,,,,414,,,,
,,,,3787,,44834,210625,259246
,,,,3787,,,,
,,Aveiro,,738,,13067,45382,59187
,,,,738,,,,
,,C. Branco,,255,,5151,16837,22243
,,,,255,,,,
REGIÃO,,Coimbra,,599,,6612,31977,39188
,,,,599,,,,
CENTRO,,Guarda,,215,,5065,13400,18680
,,,,215,,,,
,,Leiria,,762,,10686,30809,42257
,,,,762,,,,
,,Viseu,,220,,5913,19402,25535
,,,,220,,,,
,,,,2789,,46494,157807,207090
,,,,2789,,,,
REGIÃO DE,,Lisboa,,3564,,40907,179531,224002
,,,,3564,,,,
LISBOA,,Santarém,,918,,10671,30769,42358
,,,,918,,,,
E VALE TEJO,,Setúbal,,1874,,15842,50217,67933
,,,,1874,,,,
,,,,6356,,67420,260517,334293
,,,,6356,,,,
,,Beja,,244,,4535,9714,14493
,,,,244,,,,
REGIÃO DO,,Évora,,308,,4068,16221,20597
,,,,308,,,,
ALENTEJO,,Portalegre,,221,,4140,10133,14494
,,,,221,,,,
,,,,773,,12743,36068,49584
,,,,773,,,,
R. ALGARVE,,Faro,,721,,9564,38338,48623
,,,,,,,,
