,,,,,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,,Índice de
,,,,,,,,,,,,,Gravidade
,,,,,,,,,,,,,
,,,,,,,,2000,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,,00/99,1999,2000,00/99,2000
,,,,,,,,,,,,,
,,,,,,,,613,,,,,
00-03,2977,2782,-195,193,181,-12,665,,-52,3794,3454,-340,"6,51"
,,,,,,,,369,,,,,
03-06,1811,1739,-72,139,136,-3,438,,-69,2241,2166,-75,"7,82"
,,,,,,,,718,,,,,
06-09,4909,4615,-294,215,206,-9,758,,-40,5957,5599,-358,"4,46"
,,,,,,,,781,,,,,
09-12,6226,5755,-471,173,138,-35,823,,-42,7277,6740,-537,"2,40"
,,,,,,,,986,,,,,
12-15,8120,7499,-621,211,178,-33,1108,,-122,9472,8748,-724,"2,37"
,,,,,,,,1224,,,,,
15-18,9020,8324,-696,239,244,5,1344,,-120,10924,10161,-763,"2,93"
,,,,,,,,1380,,,,,
18-21,9801,8795,-1006,352,322,-30,1549,,-169,11594,10400,-1194,"3,66"
,,,,,,,,847,,,,,
21-24,5102,4650,-452,228,224,-4,1012,,-165,6371,5738,-633,"4,82"
,,,,,,,,6918,,,,,
Total,47966,44159,-3807,1750,1629,-121,7697,,-779,57630,53006,-4624,"3,69"
,,,,,,,,,,,,,
