,,,,,,,,,,,,
,Colisão,,,Despiste,,,Atropelamento,,,Total,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,,,,
Velocípedes,1552,1220,-332,148,123,-25,84,51,-33,1784,1394,-390
,,,,,,,,,,,,
Ciclomotores,8339,6353,-1986,1875,1608,-267,511,383,-128,10725,8344,-2381
,,,,,,,,,,,,
Motociclos,4143,3989,-154,1177,1123,-54,396,309,-87,5716,5421,-295
,,,,,,,,,,,,
,,,,,,,,,,,,
Motoc./1000 motoc.,,,,,,,,,,,,
,"34,2","28,5","-5,8","9,7","8,0","-1,7","3,3","2,2","-1,1","47,3","38,7","-8,6"
em circulação,,,,,,,,,,,,
,,,,,,,,,,,,
Veículos ligeiros (1),42534,40204,-2330,8871,8399,-472,6434,6040,-394,57839,54643,-3196
,,,,,,,,,,,,
Passageiros,32771,31042,-1729,6953,6562,-391,5077,4709,-368,44801,42313,-2488
,,,,,,,,,,,,
Mercadorias,8005,7743,-262,1559,1508,-51,1129,1075,-54,10693,10326,-367
,,,,,,,,,,,,
,,,,,,,,,,,,
Ligeiros/1000 lig.,,,,,,,,,,,,
,"10,0","9,0","-1,0","2,1","1,9","-0,2","1,5","1,4","-0,2","13,6","12,3","-1,4"
em circulação,,,,,,,,,,,,
,,,,,,,,,,,,
Veículos pesados (2),3168,2881,-287,476,426,-50,351,396,45,3995,3703,-292
,,,,,,,,,,,,
Passageiros,744,634,-110,66,44,-22,199,225,26,1009,903,-106
,,,,,,,,,,,,
Mercadorias,2172,2012,-160,355,338,-17,136,158,22,2663,2508,-155
,,,,,,,,,,,,
,,,,,,,,,,,,
Pesados/1000 pes.,,,,,,,,,,,,
,"22,3","19,9","-2,3","3,3","2,9","-0,4","2,5","2,7","0,3","28,1","25,6","-2,5"
em circulação,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Outros veículos,510,409,-101,97,97,0,44,30,-14,651,536,-115
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,60246,55056,-5190,12644,11776,-868,7820,7209,-611,80710,74041,-6669
,,,,,,,,,,,,
