,,,,,,
,Veículos envolvidos em acidentes por 1000 veículos em circulação,,,,,
,,,,,,
,,,,,,
,,,,,,
,Veículos ligeiros,,Veículos pesados,,Motociclos,
,,,,,,
,,,,,,
Até 1 ano,407080,"7,5",3071,"42,3",21289,"29,6"
,,,,,,
1 ano,399259,"15,0",6014,"52,4",21298,"50,9"
,,,,,,
2 anos,370905,"14,6",5419,"66,4",16886,"49,1"
3 anos,323383,"12,7",4134,"73,3",13974,"38,1"
,,,,,,
4 anos,313424,"12,2",3844,"64,5",9953,"39,5"
,,,,,,
De 5 a 9 anos,1580965,"11,4",17955,"53,0",43273,"30,9"
De 10 a 14 anos,817773,"12,9",10579,"82,2",12227,"30,0"
,,,,,,
De 15 a 19 anos,197782,"12,0",2390,"128,5",1226,"46,5"
,,,,,,
>= 20 anos,47798,"17,7",864,"222,3",0,__
