,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,
Dentro das localidades,226,219,-7,1363,1225,-138,6314,5996,-318
,,,,,,,4841,,
Arruamento,117,116,-1,1054,955,-99,,4913,72
,,,,,,,711,,
Estrada Nacional,68,79,11,151,170,19,,632,-79
,,,,,,,657,,
Estrada Municipal,30,17,-13,138,80,-58,,374,-283
,,,,,,,11,,
Itinerário Complementar,4,3,-1,6,7,1,,7,-4
,,,,,,,94,,
Outra Via (1),7,4,-3,14,13,-1,,70,-24
Fora das localidades,119,118,0,174,140,-34,531,478,-53
,,,,,,,23,,
Auto-Estrada,10,15,5,16,10,-6,,25,2
,,,,,,,329,,
Estrada Nacional,76,69,-7,104,77,-27,,238,-91
,,,,,,,146,,
Estrada Municipal,15,13,-2,40,29,-11,,182,36
,,,,,,,10,,
Itinerário Complementar,10,15,5,7,12,5,,16,6
,,,,,,,23,,
Outra Via (1),8,6,-1,7,12,5,,17,-6
