,,Condutores testados,,,,,,Total
,,Não Infractores,,Infractores,,,,Condutores
,,"TAS<=0,2 g/l","TAS>0,2 e","TAS>=0,5","TAS>=0,8","TAS>=1,2 g/l",Total,intervenientes
,,,,"e <0,8 g/l","e <1,2 g/l",,,
,,,"<=0,49 g/l",,,,,
Veículos,1999,46076,842,260,402,1007,1669,57598
Ligeiros,2000,43805,804,252,362,957,1571,54365
,,,,,,,,
,00/99,-2271,-38,-8,-40,-50,-98,-3233
Veículos,1999,3515,44,10,12,20,42,3971
Pesados,2000,3258,47,10,8,11,29,3690
,,,,,,,,
,00/99,-257,3,0,-4,-9,-13,-281
,1999,884,11,2,6,22,30,1780
Velocípedes,2000,765,17,1,4,21,26,1391
,,,,,,,,
,00/99,-119,6,-1,-2,-1,-4,-389
,1999,6343,198,35,60,304,399,10724
Ciclomotores,2000,5109,160,25,36,236,297,8337
,,,,,,,,
,00/99,-1234,-38,-10,-24,-68,-102,-2387
,1999,3639,67,16,27,63,106,5713
Motociclos,2000,3593,64,20,22,50,92,5419
,,,,,,,,
,00/99,-46,-3,4,-5,-13,-14,-294
Outros,1999,483,8,2,1,4,7,642
Veículos,2000,381,10,2,5,4,11,534
,,,,,,,,
,00/99,-102,2,0,4,0,4,-108
,1999,60940,1170,325,508,1420,2253,80428
Total,2000,56911,1102,310,437,1279,2026,73736
,,,,,,,,
,00/99,-4029,-68,-15,-71,-141,-227,-6692
