,Vítimas mortais,,,,,,,,
,Condutores,,,Passageiros,,,Peões,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,
Auto-Estrada,55,54,-1,43,43,0,10,15,5
,,,,,,,,,
EstradaNacional/IP/IC,572,517,-55,235,233,-2,164,169,5
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,152,116,-36,47,35,-12,73,82,9
,,,,,,,,,
Fora Localidade,420,401,-19,188,198,10,91,87,-4
Estrada Municipal,176,161,-15,53,30,-23,45,30,-15
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,57,46,-11,19,4,-15,30,17,-13
,,,,,,,,,
Fora Localidade,119,115,-4,34,26,-8,15,13,-2
Arruamentos,203,147,-56,48,52,4,117,116,-1
,,,,,,,,,
Outras (1),16,37,21,4,18,14,9,7,-2
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,5,12,7,2,3,1,6,4,-2
,,,,,,,,,
Fora Localidade,11,25,14,2,15,13,3,3,0
Total da rede,1022,916,-106,383,376,-7,345,337,-8
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,417,321,-96,116,94,-22,226,219,-7
,,,,,,,,,
Fora Localidade,605,595,-10,267,282,15,119,118,-1
