,Feridos graves,,,,,,,,
,Condutores,,,Passageiros,,,Peões,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,
Auto-Estrada,167,177,10,186,178,-8,16,10,-6
EstradaNacional/IP/IC,1749,1616,-133,1025,828,-197,270,269,-1
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,601,569,-32,301,192,-109,157,177,20
,,,,,,,,,
Fora Localidade,1148,1047,-101,724,636,-88,113,92,-21
Estrada Municipal,628,573,-55,274,212,-62,178,109,-69
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,330,217,-113,127,60,-67,138,80,-58
,,,,,,,,,
Fora Localidade,298,356,58,147,152,5,40,29,-11
Arruamentos,1495,1325,-170,517,517,0,1054,955,-99
,,,,,,,,,
Outras (1),76,86,10,43,41,-2,19,22,3
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,39,41,2,31,17,-14,14,13,-1
,,,,,,,,,
Fora Localidade,37,45,8,12,24,12,5,9,4
Total da rede,4115,3777,-338,2045,1776,-269,1537,1365,-172
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,2465,2152,-313,976,786,-190,1363,1225,-138
,,,,,,,,,
Fora Localidade,1650,1625,-25,1069,990,-79,174,140,-34
