,,"População
(1)","Veículos
em
circulação
(2)","Acidentes
com
vítimas","Acid. c/
vítimas por
1000 veíc.
circulação","Mortos
(M)","Feridos
graves
(FG)",M + FG,
,,,,,,,,,M+FG
,,,,,,,,,por 1000
,,,,,,,,,hab.
,,,,,,,,,
,Braga,796160,349558,3084,"8,8",89,276,365,"0,46"
,,,,,,,,,
REGIÃO,Bragança,147720,66738,395,"5,9",40,95,135,"0,91"
,,,,,,,,,
NORTE,Porto,1714690,760996,6821,"9,0",172,433,605,"0,35"
,,,,,,,,,
,V.Castelo,250690,103081,959,"9,3",40,100,140,"0,56"
,,,,,,,,,
,Vila Real,229550,94624,569,"6,0",36,89,125,"0,54"
,,,,,,,,,
,Total,3138810,1374997,11828,"8,6",377,993,1370,"0,44"
,,,,,,,,,
,Aveiro,689100,360976,3763,"10,4",128,495,623,"0,90"
,,,,,,,,,
,C.Branco,199890,97035,684,"7,0",52,142,194,"0,97"
,,,,,,,,,
REGIÃO,Coimbra,420410,209673,2501,"11,9",82,225,307,"0,73"
,,,,,,,,,
CENTRO,Guarda,176220,83807,642,"7,7",35,120,155,"0,88"
,,,,,,,,,
,Leiria,435340,256758,3133,"12,2",127,542,669,"1,54"
,,,,,,,,,
,Viseu,399320,171435,1225,"7,1",71,183,254,"0,64"
,,,,,,,,,
,Total,2320280,1179684,11948,"10,1",495,1707,2202,"0,95"
,,,,,,,,,
REGIÃO DE,Lisboa,2056100,1185635,9253,"7,8",206,1701,1907,"0,93"
,,,,,,,,,
LISBOA,Santarém,437850,233819,2698,"11,5",125,996,1121,"2,56"
,,,,,,,,,
VALE TEJO,Setúbal,744700,347145,3422,"9,9",169,690,859,"1,15"
,,,,,,,,,
,Total,3238650,1766599,15373,"8,7",500,3387,3887,"1,20"
,,,,,,,,,
,Beja,153150,70466,754,"10,7",62,157,219,"1,43"
,,,,,,,,,
REGIÃO DO,Évora,166330,85644,819,"9,6",52,227,279,"1,68"
,,,,,,,,,
ALENTEJO,Portalegre,123070,58302,464,"8,0",24,95,119,"0,97"
,,,,,,,,,
,Total,442550,214412,2037,"9,5",138,479,617,"1,39"
,,,,,,,,,
R. ALGARVE,Faro,349740,207394,2973,"14,3",119,352,471,"1,35"
,,,,,,,,,
Média,,,,2453,"9,3",91,384,475,"1,03"
,,,,,,,,,
