Distrito de Viana do Castelo,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
,,,,,,,,
EN13,"63,600","63,800",7,12,0,1,9,37
,,,,,,,,
EN13,"64,700","64,900",5,9,0,1,6,28
,,,,,,,,
EN13,"82,200","82,300",5,11,0,1,8,34
,,,,,,,,
EN13,"94,300","94,500",5,7,0,0,7,21
,,,,,,,,
EN201,"35,750","35,900",6,11,0,0,9,27
,,,,,,,,
EN202,"3,400","3,600",5,10,0,0,8,24
,,,,,,,,
EN202,"4,900","5,100",5,8,0,0,7,21
,,,,,,,,
EN202,"6,000","6,200",5,10,0,0,11,33
,,,,,,,,
,,Total,43,78,0,3,65,
Distrito de Vila Real,,,,,,,,
,,,,,,,,
,,,,,,,,
EN2,"52,600","52,700",5,10,0,0,9,27
,,,,,,,,
IP4,"79,700","79,900",6,8,0,0,8,24
,,,,,,,,
IP4,"80,300","80,400",5,10,0,0,11,33
,,,,,,,,
IP4,"81,000","81,200",6,11,3,2,14,362
,,,,,,,,
,,Total,22,39,3,2,42,
