,Acidentes com vítimas,,,"Acidentes com mortos e/ou
feridos graves",,,Acidentes com mortos,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
"REGIÃO
CENTRO",13026,11948,-1078,1923,,-192,476,437,
,,,,,1731,,,,-39
,,,,,,,,,
Aveiro,4086,3763,-323,566,505,-61,113,105,-8
,,,,,,,,,
C. Branco,783,684,-99,192,143,-49,57,48,-9
,,,,,,,,,
Coimbra,2654,2501,-153,244,246,2,82,75,-7
,,,,,,,,,
Guarda,670,642,-28,123,122,-1,36,35,-1
,,,,,,,,,
Leiria,3263,3133,-130,577,524,-53,119,106,-13
,,,,,,,,,
Viseu,1570,1225,-345,221,191,-30,69,68,-1
,,,,,,,,,
