,Acidentes,Acidentes,Acidentes,,,
,com vítimas,com mortos,com mortos,Mortos,Feridos,Feridos leves
,,e/ou f. graves,,,graves,
REGIÃO CENTRO,11948,1731,437,495,1707,14597
,,,,,,
Dentro Localidade,8189,980,183,198,931,9541
,,,,,,
Fora Localidade,3759,751,254,297,776,5056
,,,,,,
Aveiro,3763,505,105,128,495,4417
,,,,,,
Dentro Localidade,2990,350,59,68,332,3470
,,,,,,
Fora Localidade,773,155,46,60,163,947
,,,,,,
C. Branco,684,143,48,52,142,879
,,,,,,
Dentro Localidade,286,49,9,9,41,318
,,,,,,
Fora Localidade,398,94,39,43,101,561
,,,,,,
Coimbra,2501,246,75,82,225,3152
,,,,,,
Dentro Localidade,1751,134,32,32,116,2094
,,,,,,
Fora Localidade,750,112,43,50,109,1058
,,,,,,
Guarda,642,122,35,35,120,787
,,,,,,
Dentro Localidade,287,47,10,10,44,316
,,,,,,
Fora Localidade,355,75,25,25,76,471
,,,,,,
Leiria,3133,524,106,127,542,3728
,,,,,,
Dentro Localidade,2204,307,42,47,313,2536
,,,,,,
Fora Localidade,929,217,64,80,229,1192
,,,,,,
Viseu,1225,191,68,71,183,1634
,,,,,,
Dentro Localidade,671,93,31,32,85,807
,,,,,,
Fora Localidade,554,98,37,39,98,827
,,,,,,
