Distrito de Lisboa (continuação),,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
IC19,"8,500","8,600",7,14,1,0,6,118
IC19,"9,500","9,700",6,11,0,1,10,40
IC19,"9,800","10,000",7,15,0,4,5,55
IC19,"11,300","11,500",5,7,1,1,6,128
IC19,"11,800","12,000",6,14,0,1,6,28
IC2,"34,850","35,000",5,9,0,2,5,35
,,,,,,,,
,,Total,340,678,12,45,411,
Distrito de Santarém,,,,,,,,
,,,,,,,,
EN10,"93,400","93,500",8,16,4,8,8,504
EN110,"101,000","101,200",7,13,1,5,8,174
EN113,"24,500","24,700",5,9,0,1,5,25
EN114,"73,000","73,100",5,7,0,1,4,22
EN114,"80,190","80,345",5,6,1,3,3,139
EN114,"93,360","93,500",6,7,1,1,5,125
EN114,"100,200","100,338",6,8,0,1,8,34
EN118,"42,300","42,490",5,7,0,0,7,21
EN118,"43,096","43,200",6,10,1,0,8,124
EN3,"41,100","41,300",5,11,1,0,4,112
A1 (1),"75,000","75,175",7,36,3,6,7,381
A1 (1),"79,600","79,800",8,31,0,6,12,96
,,,,,,,,
,,Total,73,161,12,32,79,
Distrito de Setúbal,,,,,,,,
,,,,,,,,
EN10,"16,700","16,900",5,10,0,1,6,28
EN252,"6,650","6,800",5,8,0,0,8,24
EN252,"14,940","15,000",5,10,0,2,3,29
EN378,"6,900","7,100",5,9,0,0,7,21
A2 (1),"5,400","5,600",7,19,1,1,7,131
A2 (1),"11,300","11,500",5,9,1,2,5,135
IC20,"1,400","1,600",5,15,0,0,11,33
IC20,"2,900","3,100",6,9,1,1,11,143
IC20,"3,400","3,600",6,13,0,1,7,31
IC20,"6,800","7,000",5,9,0,1,13,49
,,Total,54,111,3,9,78,
(1) Sentido decrescente da quilometragem,,,,,,,,
(2) Sentido crescente da quilometragem,,,,,,,,
