,Acidentes com,Acidentes,Acidentes,,,
,vítimas,com mortos,com mortos,Mortos,Feridos,Feridos leves
,,e/ou f. graves,,,graves,
,,,,,,
REGIÃO ALENTEJO,2037,470,125,138,479,2415
,,,,,,
Dentro Localidade,703,114,9,9,125,733
Fora Localidade,1334,356,116,129,354,1682
Beja,754,166,58,62,157,889
Dentro Localidade,200,24,4,4,24,212
Fora Localidade,554,142,54,58,133,677
Évora,819,202,47,52,227,1001
Dentro Localidade,305,51,1,1,59,319
Fora Localidade,514,151,46,51,168,682
Portalegre,464,102,20,24,95,525
Dentro Localidade,198,39,4,4,42,202
Fora Localidade,266,63,16,20,53,323
