Distrito de Faro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN125,"27,400","27,550",5,7,0,0,7,21
EN125,"51,300","51,500",8,15,1,0,8,124
EN125,"60,300","60,500",5,7,0,1,5,25
EN125,"98,400","98,600",6,10,0,1,6,28
EN125,"100,900","101,100",8,17,0,0,10,30
EN125,"102,100","102,300",5,12,0,0,10,30
EN125,"103,150","103,300",9,15,0,0,11,33
EN125,"108,500","108,600",7,7,0,1,10,40
EN125,"111,600","111,700",8,16,0,0,8,24
EN125,"113,300","113,500",6,9,0,0,7,21
EN125,"114,000","114,200",7,13,0,1,7,31
EN125,"118,400","118,600",5,9,1,3,6,148
EN125,"121,400","121,500",5,11,0,1,5,25
,,,,,,,,
,,Total,84,148,2,8,100,
