,,,Escolas,Instrutores,,
,,,,Em escolas,Independentes,Total
,,Braga,73,411,,411
,REGIÃO,Bragança,16,78,,78
,NORTE,Porto,121,833,3,836
,,V. Castelo,32,155,,155
,,Vila Real,25,115,,115
,,,267,1592,3,1595
,,Aveiro,39,337,,337
,,C .Branco,21,131,,131
,REGIÃO,Coimbra,35,264,,264
,CENTRO,Guarda,24,117,,117
,,Leiria,41,263,,263
,,Viseu,42,234,,234
,,,202,1346,0,1346
,,Lisboa,118,952,,952
,REGIÃO LISBOA,Santarém,40,187,,187
,V. TEJO,Setúbal,35,333,,333
,,,193,1472,0,1472
,,Beja,23,88,,88
,REGIÃO,Évora,20,117,,117
,ALENTEJO,Portalegre,15,47,,47
,,,58,252,0,252
,R. ALGARVE,Faro,42,153,,153
,TOTAL,,762,4815,3,4818
