,,1996,,,1997,,1998,,,1999,,,,
,,,,,,,,,,,,,2000,
,,,,,,,,,,,,,,
,,,,%,,%,,,%,,,%,,%
Ligeiros,,3.426.482,,"93,6",3.683.057,"94,0",3.956.995,,"94,1",4.240.692,,"94,2",4.458.369,"94,0"
Pesados,,135.990,,"3,7",134.746,"3,4",135.970,,"3,2",142.371,,"3,1",144.591,"3,0"
,Passageiros,12.902,,"0,4",12.526,"0,3",12.852,,"0,3",13.436,,"0,3",13.776,"0,3"
,Mercadorias (1),123.088,,"3,4",122.220,"3,1",123.118,,"2,9",128.935,,"2,9",130.815,"2,8"
Motociclos,,97150,,"2,7",100.363,"2,6",111.771,,"2,7",120.964,,"2,7",140.126,"3,0"
Total,,3.659.622,,"100,0",3.918.166,"100,0",4.204.736,,"100,0",4.504.027,,"100,0",4.743.086,
,"Veículos/1000
habitantes",388,,,415,,445,,,476,,,500,
,"Hab. / veíc.
ligeiros passag.",2.8,,,2.6,,2.4,,,2.2,,,2.8,
