,CONTRA-ORDENAÇÕES,,,,
,M. Graves,Graves,Leves,,
,,,,,Total
,,,,,
Janeiro,1082,14159,61094,,76335
Fevereiro,1209,15202,63581,,79992
,,,,,
Março,1394,15592,62839,,79825
,,,,,
Abril,948,10729,45499,,57176
Maio,1280,15323,62503,,79106
,,,,,
Junho,1317,12893,53072,,67282
,,,,,
Julho,1638,16455,64820,,82913
Agosto,1541,14026,56297,,71864
,,,,,
Setembro,1572,12672,50426,,64670
,,,,,
Outubro,1527,14284,62228,,78039
Novembro,1999,19890,86184,,108073
,,,,,
Dezembro,1155,12017,53487,,66659
,,,,,
Total,16.662,173.242,722.030,,
,,,,,911.934
,,,,,
