,Vítimas mortais,,,População (milhares),,,Mortos/1000 hab.,,
,1998,1999,"99/98
%",1998,1999,"99/98
%",1998,1999,"99/98
%"
Alemanha,7.792,7.772,-0.3,82.057,82.037,0.0,0.09,0.09,-0.2
Austrália,1.755,1.763,0.5,18.751,18.967,1.2,0.09,0.09,-0.7
Áustria,963,1.079,12.0,8.075,8.082,0.1,0.12,0.13,11.9
Bélgica,1.500,1.379,-8.1,10.192,10.213,0.2,0.15,0.14,-8.3
Canadá,2.934,2.972,1.3,30.300,30.491,0.6,0.10,0.10,0.7
Dinamarca,499,514,3.0,5.294,5.313,0.4,0.09,0.10,2.6
,,,,,,,,,
Espanha,5.957,5.738,-3.7,39.347,39.418,0.2,0.15,0.15,-3.8
E. U. A.,41.471,41.611,0.3,270.299,272.691,0.9,0.15,0.15,-0.5
Finlândia,400,431,7.8,5.147,5.160,0.3,0.08,0.08,7.5
França,8.918,8.478,-4.9,58.967,58.967,0.0,0.15,0.14,-4.9
Grécia,2.182,2.116,-3.0,10.499,10.499,0.0,0.21,0.20,-3.0
Hungria,1.371,1.306,-4.7,10.135,10.092,-0.4,0.14,0.13,-4.3
,,,,,,,,,
Irlanda,458,413,-9.8,3.705,3.744,1.1,0.12,0.11,-10.8
Islândia,27,21,-22.2,275,279,1.5,0.10,0.08,-23.3
Itália,6.326,,,57.563,57.563,0.0,0.11,,
Japão,10.805,10.372,-4.0,126.486,126.686,0.2,0.09,0.08,-4.2
Luxemburgo,57,58,1.8,424,429,1.2,0.13,0.14,0.6
Noruega,352,304,-13.6,4.418,4.445,0.6,0.08,0.07,-14.2
,,,,,,,,,
N. Zelândia,502,509,1.4,3.781,3.806,0.7,0.13,0.13,0.7
P. Baixos,1.066,1.090,2.3,15.654,15.670,0.1,0.07,0.07,2.1
Portugal,2.126,1.995,-6.2,9.474,9.490,0.2,0.22,0.21,-8.2
Reino Unido,3.581,3.564,-0.5,59.236,59.500,0.4,0.06,0.06,-0.9
Rep. Checa,1.360,1.455,7.0,10.299,10.290,-0.1,0.13,0.14,7.1
Suécia,531,580,9.2,8.848,8.854,0.1,0.06,0.07,9.2
Suíça,597,583,-2.3,7.096,7.123,0.4,0.08,0.08,-2.7
