,,,,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,,,,
,,,,,,,,,,,,
2ªFeira,6349,6255,-94,256,201,-55,945,768,-177,7308,7283,-25
,,,,,,,,,,,,
3ªFeira,5852,5515,-337,187,156,-31,885,759,-126,6761,6396,-365
,,,,,,,,,,,,
4ªFeira,5878,5720,-158,179,190,11,863,670,-193,6844,6628,-216
,,,,,,,,,,,,
5ªFeira,5937,5739,-198,177,191,14,903,662,-241,6711,6586,-125
,,,,,,,,,,,,
6ªFeira,6940,6624,-316,232,199,-33,1028,898,-130,8121,7801,-320
,,,,,,,,,,,,
Sábado,6690,6394,-296,296,262,-34,1195,1000,-195,8190,8048,-142
,,,,,,,,,,,,
Domingo,6513,6274,-239,302,267,-35,1099,1040,-59,9071,8505,-566
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,44159,42521,-1638,1629,1466,-163,6918,5797,-1121,53006,51247,-1759
,,,,,,,,,,,,
