,,,,,,,,,
,Até 1 ano,,,1 ano,,,2 anos,,
,,,,,,,,,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
Ciclomotores,304,232,-72,931,538,-393,919,671,-248
,,,,,,,,,
Motociclos,631,548,-83,1084,826,-258,829,751,-78
,,,,,,,,,
Veículos ligeiros,3063,2565,-498,5999,5501,-498,5404,5154,-250
,,,,,,,,,
Veículos pesados,130,114,-16,315,300,-15,360,311,-49
,,,,,,,,,
Sub-total,4128,3459,-669,8329,7165,-1164,7512,6887,-625
,,,,,,,,,
,,,,,,,,,
,3 anos,,,4 anos,,,5 a 9 anos,,
,,,,,,,,,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
Ciclomotores,616,613,-3,512,427,-85,2161,1663,-498
,,,,,,,,,
Motociclos,533,624,91,393,425,32,1335,1292,-43
,,,,,,,,,
Veículos ligeiros,4121,4589,468,3832,3733,-99,17944,16756,-1188
,,,,,,,,,
Veículos pesados,303,288,-15,248,256,8,951,937,-14
,,,,,,,,,
Sub-total,5573,6114,541,4985,4841,-144,22391,20648,-1743
,,,,,,,,,
,,,,,,,,,
,10 a 14 anos,,,15 a 19 anos,,,>=20 anos,,
,,,,,,,,,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
Ciclomotores,1882,1735,-147,361,352,-9,373,392,19
,,,,,,,,,
Motociclos,367,390,23,57,46,-11,62,62,0
,,,,,,,,,
Veículos ligeiros,10566,10255,-311,2378,2341,-37,846,860,14
,,,,,,,,,
Veículos pesados,870,799,-71,307,230,-77,192,207,15
,,,,,,,,,
Sub-total,13685,13179,-506,3103,2969,-134,1473,1521,48
,,,,,,,,,
