,,,,,,,,,
,Feminino,,,Masculino,,,Total (1),,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
Vítimas mortais,97,106,9,238,190,-48,337,296,-41
,,,,,,,,,
<=5,1,3,2,10,3,-7,11,6,-5
6-9,1,3,2,7,0,-7,9,3,-6
10-14,1,3,2,3,7,4,4,10,6
15-19,3,3,0,2,6,4,5,9,4
20-24,0,2,2,8,3,-5,8,5,-3
25-29,0,1,1,14,10,-4,14,11,-3
30-34,0,5,5,13,6,-7,13,11,-2
35-39,0,3,3,13,9,-4,13,12,-1
40-44,6,4,-2,15,14,-1,21,18,-3
45-49,4,5,1,14,16,2,18,21,3
50-54,5,5,0,13,16,3,18,21,3
55-59,10,7,-3,10,10,0,20,17,-3
60-64,11,7,-4,19,12,-7,30,19,-11
>=65,53,50,-3,97,66,-31,150,116,-34
Não def.,2,5,3,0,12,12,3,17,14
Feridos Graves,638,438,-200,724,657,-67,1365,1098,-267
,,,,,,,,,
<=5,31,18,-13,39,30,-9,70,48,-22
6-9,33,31,-2,56,46,-10,90,77,-13
10-14,34,21,-13,47,40,-7,81,61,-20
15-19,42,21,-21,23,22,-1,65,43,-22
20-24,31,16,-15,42,28,-14,73,45,-28
25-29,22,17,-5,38,29,-9,60,46,-14
30-34,25,18,-7,33,41,8,58,59,1
35-39,31,12,-19,39,49,10,70,61,-9
40-44,26,13,-13,35,38,3,61,51,-10
45-49,30,21,-9,43,41,-2,73,62,-11
50-54,29,18,-11,34,36,2,63,54,-9
55-59,45,23,-22,34,33,-1,79,56,-23
60-64,33,33,0,57,26,-31,90,59,-31
>=65,223,175,-48,198,182,-16,421,357,-64
Não def.,3,1,-2,6,16,10,11,19,8
Feridos Leves,3179,3213,34,3281,3323,42,6474,6589,115
,,,,,,,,,
<=5,125,131,6,205,223,18,330,355,25
6-9,192,210,18,304,292,-12,496,502,6
10-14,297,264,-33,258,297,39,555,562,7
15-19,237,208,-29,174,181,7,411,389,-22
20-24,186,196,10,185,192,7,371,388,17
25-29,155,151,-4,222,189,-33,378,341,-37
30-34,141,155,14,188,164,-24,330,320,-10
35-39,163,160,-3,173,171,-2,336,331,-5
40-44,134,181,47,165,167,2,299,348,49
45-49,156,166,10,198,190,-8,354,356,2
50-54,174,164,-10,169,184,15,343,350,7
55-59,158,182,24,162,154,-8,320,337,17
60-64,229,204,-25,172,186,14,401,391,-10
>=65,825,809,-16,684,684,0,1509,1495,-14
Não def.,7,32,25,22,49,27,41,124,83
