,,,,Condutores intervenientes em,,
,Condutores intervenientes em,,,,,
,,,,acidentes com mortos e/ou feridos,,
,acidentes com vítimas,,,,,
,,,,graves,,
,,,,,,
,2000,2001,01/00,2000,2001,01/00
,,,,,,
,,,,,,
< 1 ano,3439,3001,-438,429,339,-90
,,,,,,
1 ano,6164,5958,-206,875,726,-149
,,,,,,
2 anos,5273,4875,-398,730,612,-118
,,,,,,
3 anos,4640,4347,-293,689,534,-155
,,,,,,
4 anos,4339,3781,-558,626,478,-148
,,,,,,
5 anos,3563,3599,36,488,452,-36
,,,,,,
6 anos,3363,3185,-178,433,389,-44
,,,,,,
7 anos,3399,3071,-328,465,366,-99
,,,,,,
8 anos,3152,2986,-166,449,341,-108
,,,,,,
9 anos,2379,2709,330,328,338,10
,,,,,,
10-14 anos,8126,8219,93,1139,944,-195
,,,,,,
15-19 anos,5381,4762,-619,736,628,-108
,,,,,,
>= 20 anos,13663,12925,-738,2046,1626,-420
,,,,,,
Não definidos,3166,4027,861,554,621,67
,,,,,,
Sem carta,3689,3079,-610,871,641,-230
,,,,,,
Total,73736,70524,-3212,10858,9035,-1823
