,,Vítimas mortais,,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
,Veículos,2000,0,21,87,69,52,46,42,33,40,14,26,27,461
,Ligeiros,2001,0,23,78,66,39,37,30,24,27,27,20,47,424
,,01/00,0,2,-9,-3,-13,-9,-12,-9,-13,13,-6,20,-37
,Veículos,2000,0,0,3,5,2,6,2,2,4,2,1,2,29
,Pesados,2001,0,0,1,2,3,1,7,1,3,3,0,2,24
,,01/00,0,0,-2,-3,1,-5,5,-1,-1,1,-1,0,-5
,,2000,3,2,1,1,5,3,2,2,2,3,7,14,48
,Velocípedes,2001,1,1,1,1,1,3,2,2,1,2,9,19,44
,,01/00,-2,-1,0,0,-4,0,0,0,-1,-1,2,5,-4
,,2000,1,24,20,15,14,16,10,14,7,7,15,35,181
,Ciclomotores,2001,1,10,16,14,12,14,9,10,5,5,4,40,145
,,01/00,0,-14,-4,-1,-2,-2,-1,-4,-2,-2,-11,5,-36
,,2000,0,15,53,45,19,8,9,7,4,1,1,2,167
,Motociclos,2001,0,25,48,46,17,15,12,8,1,1,0,1,176
,,01/00,0,10,-5,1,-2,7,3,1,-3,0,-1,-1,9
,,2000,4,62,164,136,95,79,65,62,59,31,56,90,916
Total (2),,2001,2,59,144,130,72,73,63,47,38,40,34,121,838
,,01/00,-2,-3,-20,-6,-23,-6,-2,-15,-21,9,-22,31,-78
