,,,,,,,,,,,,
,Acidentes c/,,,,,,,,,,,
,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,vítimas,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,,,,
Auto-Estrada,1918,1809,-109,112,98,-14,365,293,-72,2627,2504,-123
,,,,,,,,,,,,
EstradaNacional/IP/IC,15158,14870,-288,919,817,-102,2713,2467,-246,19604,19094,-510
,,,,,,,,,,,,
Dentro Localidade,6491,6272,-219,233,228,-5,938,821,-117,8181,7881,-300
Fora Localidade,8667,8598,-69,686,589,-97,1775,1646,-129,11423,11213,-210
Estrada Municipal,5961,5225,-736,221,185,-36,894,685,-209,7150,6328,-822
,,,,,,,,,,,,
Dentro Localidade,2828,2313,-515,67,70,3,357,275,-82,3316,2717,-599
Fora Localidade,3133,2912,-221,154,115,-39,537,410,-127,3834,3611,-223
Arruamentos,20114,19680,-434,315,318,3,2797,2225,-572,22344,22051,-293
,,,,,,,,,,,,
Outras (1),1008,937,-71,62,48,-14,149,127,-22,1281,1270,-11
Dentro Localidade,609,470,-139,19,16,-3,71,44,-27,771,652,-119
Fora Localidade,399,467,68,43,32,-11,78,83,5,510,618,108
Total da rede,44159,42521,-1638,1629,1466,-163,6918,5797,-1121,53006,51247,-1759
,,,,,,,,,,,,
Dentro Localidade,30042,28735,-1307,634,632,-2,4163,3365,-798,34612,33301,-1311
Fora Localidade,14117,13786,-331,995,834,-161,2755,2432,-323,18394,17946,-448
