,,Acidentes c/,,,,,,,,,,,
,,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,vítimas,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,01/00,,,01/00,,,01/00,,,01/00
,,2000,2001,,2000,2001,,2000,2001,,2000,2001,
,,,,%,,,%,,,%,,,%
,,,,,,,,,,,,,
,Braga,3084,3032,"-1,7",89,95,"6,7",276,290,"5,1",4128,3971,"-3,8"
,,,,,,,,,,,,,
REGIÃO,Bragança,395,464,"17,5",40,37,"-7,5",95,96,"1,1",456,558,"22,4"
,,,,,,,,,,,,,
NORTE,Porto,6821,6654,"-2,4",172,182,"5,8",433,492,"13,6",8924,8611,"-3,5"
,,,,,,,,,,,,,
,V. Castelo,959,979,"2,1",40,38,"-5,0",100,69,"-31,0",1243,1291,"3,9"
,,,,,,,,,,,,,
,Vila Real,569,663,"16,5",36,32,"-11,1",89,104,"16,9",780,895,"14,7"
,,,,,,,,,,,,,
,,11828,11792,"-0,3",377,384,"1,9",993,1051,"5,8",15531,15326,"-1,3"
,,,,,,,,,,,,,
,Aveiro,3763,3726,"-1,0",128,105,"-18,0",495,429,"-13,3",4417,4480,"1,4"
,,,,,,,,,,,,,
REGIÃO,C. Branco,684,605,"-11,5",52,26,"-50,0",142,127,"-10,6",879,750,"-14,7"
,,,,,,,,,,,,,
CENTRO,Coimbra,2501,2441,"-2,4",82,96,"17,1",225,193,"-14,2",3152,2979,"-5,5"
,,,,,,,,,,,,,
,Guarda,642,628,"-2,2",35,40,"14,3",120,98,"-18,3",787,781,"-0,8"
,,,,,,,,,,,,,
,Leiria,3133,3274,"4,5",127,101,"-20,5",542,456,"-15,9",3728,3926,"5,3"
,,,,,,,,,,,,,
,Viseu,1225,1107,"-9,6",71,68,"-4,2",183,175,"-4,4",1634,1445,"-11,6"
,,,,,,,,,,,,,
,,11948,11781,"-1,4",495,436,"-11,9",1707,1478,"-13,4",14597,14361,"-1,6"
,,,,,,,,,,,,,
REGIÃO DE,Lisboa,9253,8240,"-10,9",206,184,"-10,7",1701,1157,"-32,0",10276,9383,"-8,7"
,,,,,,,,,,,,,
LISBOA,Santarém,2698,2524,"-6,4",125,112,"-10,4",996,743,"-25,4",2766,2651,"-4,2"
,,,,,,,,,,,,,
E VALE TEJO,Setúbal,3422,3085,"-9,8",169,122,"-27,8",690,535,"-22,5",4008,3586,"-10,5"
,,,,,,,,,,,,,
,,15373,13849,"-9,9",500,418,"-16,4",3387,2435,"-28,1",17050,15620,"-8,4"
,,,,,,,,,,,,,
REGIÃO DO,Beja,754,757,"0,4",62,49,"-21,0",157,166,"5,7",889,929,"4,5"
,,,,,,,,,,,,,
ALENTEJO,Évora,819,764,"-6,7",52,29,"-44,2",227,154,"-32,2",1001,874,"-12,7"
,,,,,,,,,,,,,
,Portalegre,464,520,"12,1",24,44,"83,3",95,153,"61,1",525,601,"14,5"
,,,,,,,,,,,,,
,,2037,2041,"0,2",138,122,"-11,6",479,473,"-1,3",2415,2404,"-0,5"
,,,,,,,,,,,,,
R. ALGARVE,Faro,2973,3058,"2,9",119,106,"-10,9",352,360,"2,3",3413,3536,"3,6"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Média,,2453,2362,"-3,7",91,81,"-10,0",384,322,"-16,2",2945,2847,"-3,3"
