,Acidentes c/,Acidentes,Acidentes,,,
,vítimas,com mortos,com mortos,Mortos,Feridos,Feridos leves
,,e/ou f. graves,,,graves,
,,,,,,
REGIÃO NORTE,11792,1176,351,384,1051,15326
,,,,,,
Dentro Localidade,9106,827,209,227,743,11493
,,,,,,
Fora Localidade,2686,349,142,157,308,3833
,,,,,,
Braga,3032,325,86,95,290,3971
,,,,,,
Dentro Localidade,2401,254,63,69,223,3090
,,,,,,
Fora Localidade,631,71,23,26,67,881
,,,,,,
Bragança,464,99,31,37,96,558
,,,,,,
Dentro Localidade,243,58,6,7,56,250
,,,,,,
Fora Localidade,221,41,25,30,40,308
,,,,,,
Porto,6654,556,168,182,492,8611
,,,,,,
Dentro Localidade,5527,418,116,126,368,7007
,,,,,,
Fora Localidade,1127,138,52,56,124,1604
,,,,,,
V. Castelo,979,88,36,38,69,1291
,,,,,,
Dentro Localidade,557,39,17,18,31,701
,,,,,,
Fora Localidade,422,49,19,20,38,590
,,,,,,
V. Real,663,108,30,32,104,895
,,,,,,
Dentro Localidade,378,58,7,7,65,445
,,,,,,
Fora Localidade,285,50,23,25,39,450
,,,,,,
