Distrito do Porto,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN1,292,"292,2",5,8,1,0,5,115
EN101,"129,5","129,7",6,12,0,0,7,21
EN101,"129,925","130,1",7,14,0,0,12,36
EN101-4,"0,8","0,847",5,10,0,1,8,34
EN105,"8,4","8,5",6,11,0,1,7,31
EN105,"29,8",30,6,9,0,0,7,21
EN106,"20,6","20,8",5,10,0,0,10,30
EN106,33,"33,2",6,12,0,0,10,30
EN107,"6,4","6,6",6,12,0,0,13,39
EN107,"7,65","7,8",5,11,0,0,7,21
EN109,8,8,10,20,1,2,14,162
EN109,"8,6","8,7",5,10,0,1,5,25
EN109,"8,9","9,1",5,7,0,1,7,31
EN109,"9,3","9,4",9,21,0,1,13,49
EN13,"9,3","9,3",5,11,0,1,7,31
EN13,"14,7","14,9",7,15,0,0,12,36
EN15,"13,5","13,7",5,9,0,0,9,27
EN15,"24,9","25,1",5,11,1,0,8,124
EN205,"4,2","4,4",5,8,0,1,5,25
EN206,"10,1","10,2",5,9,0,0,9,27
EN210,"71,8","71,9",9,17,0,0,12,36
EN222,"2,8",3,6,14,0,0,7,21
EN319,20,"20,2",9,16,1,1,14,152
A3 (2),"2,6","2,7",8,17,1,1,24,182
A3 (2),"3,4","3,575",5,11,0,0,7,21
IC1,"2,4","2,5",9,20,1,0,8,124
IC1,"2,8",3,5,7,0,2,3,29
IC1,"301,7","301,8",5,12,0,1,5,25
IC1,350,"350,2",6,6,0,2,4,32
IC23,2,2,6,11,0,0,9,27
IP1,"300,3","300,5",5,8,1,1,6,128
IP4,"69,5","69,6",5,7,0,0,18,54
,,,,,,,,
,,Total,196,376,7,17,292,
Distrito de Viana do Castelo,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
,,,,,,,,
EN101,"0,3","0,5",7,9,0,0,7,21
,,,,,,,,
EN13,69,"69,2",5,10,0,0,11,33
,,,,,,,,
EN13,"82,32","82,5",5,6,1,0,9,127
,,,,,,,,
EN202,"13,9","14,1",5,10,0,0,7,21
,,,,,,,,
EN308,"6,9","7,01",5,11,1,0,6,118
,,,,,,,,
,,Total,27,46,2,0,40,
(2) Sentido decrescente da quilometragem,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
