Distrito de Coimbra,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
,,,,,,,,
EN1,197.700,197.900,5,7,1,1,11,143
,,,,,,,,
IC1,115.900,116.100,5,10,0,0,7,21
,,,,,,,,
IP3,48.700,48.900,7,25,1,2,14,162
,,,,,,,,
IP3,67.300,67.500,6,7,0,0,11,33
,,,,,,,,
,,Total,23,49,2,3,43,
Distrito da Guarda,,,,,,,,
,,,,,,,,
IP5,157.100,157.200,5,9,0,0,8,24
Distrito de Leiria,,,,,,,,
,,,,,,,,
,,,,,,,,
EN1,107.950,108.150,13,29,0,0,18,54
,,,,,,,,
EN1,113.300,113.500,8,16,0,4,9,67
,,,,,,,,
EN1,130.900,131.050,5,9,2,0,8,224
,,,,,,,,
EN109,142.950,143.100,5,10,1,0,4,112
,,,,,,,,
EN114,31.500,31.600,5,12,0,1,5,25
,,,,,,,,
EN242,4.400,4.600,6,13,0,0,10,30
,,,,,,,,
EN242,20.000,20.200,8,15,0,1,15,55
,,,,,,,,
EN242,23.950,24.150,5,6,1,2,2,126
,,,,,,,,
EN242,24.600,24.800,5,10,0,2,3,29
,,,,,,,,
EN356,4.800,5.000,6,10,0,2,8,44
,,,,,,,,
,,Total,66,130,4,12,82,
Distrito de Viseu,,,,,,,,
,,,,,,,,
,,,,,,,,
EN16,94.000,94.200,5,8,0,1,5,25
,,,,,,,,
EN337-1,2.200,2.400,5,8,0,0,9,27
,,,,,,,,
EN337-1,3.900,4.000,5,6,0,0,9,27
,,Total,15,22,0,1,23,
