,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões
,,,,,,,,,,,,
R. LISBOA V. TEJO,233,95,90,1255,659,521,8330,4749,2541,9818,5503,3152
,,,,,,,,,,,,
Dentro Localidade,86,23,66,766,338,478,5134,2609,2449,5986,2970,2993
,,,,,,,,,,,,
Fora Localidade,147,72,24,489,321,43,3196,2140,92,3832,2533,159
Lisboa,91,37,56,536,278,343,4789,2739,1855,5416,3054,2254
,,,,,,,,,,,,
Dentro Localidade,39,10,44,383,188,327,3224,1750,1800,3646,1948,2171
Fora Localidade,52,27,12,153,90,16,1565,989,55,1770,1106,83
,,,,,,,,,,,,
Santarém,73,23,16,447,213,83,1576,844,231,2096,1080,330
,,,,,,,,,,,,
Dentro Localidade,30,4,11,255,95,68,858,359,211,1143,458,290
,,,,,,,,,,,,
Fora Localidade,43,19,5,192,118,15,718,485,20,953,622,40
,,,,,,,,,,,,
Setúbal,69,35,18,272,168,95,1965,1166,455,2306,1369,568
,,,,,,,,,,,,
Dentro Localidade,17,9,11,128,55,83,1052,500,438,1197,564,532
,,,,,,,,,,,,
Fora Localidade,52,26,7,144,113,12,913,666,17,1109,805,36
