,,1997,,1998,,1999,,,
,,,,,,,,2000,
,,,,,,,,,
,,PSP,GNR,PSP,GNR,PSP,GNR,PSP,GNR
De 0.00 a,,79.797,798.652,89.777,744.795,100.048,792.223,96.166,787.010
0.49 g/l,,,,,,,,,
De 0.50 a,,337,3.126,547,3.044,1.137,4.573,944,3.969
0.79 g/l,,,,,,,,,
De 0.80 a,,576,4.924,677,4.142,1.055,5.367,1.071,4.945
1.19 g/l,,,,,,,,,
Igual ou,,,,,,,,,
maior,,2.272,6.299,3.303,7.386,3.532,9.451,3.592,8.627
1.20 g/l,,,,,,,,,
Total de,,3.185,14.349,4.527,14.572,5.724,19.391,5.607,17.541
Infractores,,17.534,,19099,,25115,,,
,,,,,,,,23148,
,,,,,,,,,
,Total de,82.982,813.001,94.304,759.367,105.772,811.614,101.773,804.551
,Testes,895983,,853671,,917386,,906324,
