,,,CONTRA-ORDENAÇÕES,,,
,,,M. Graves,Graves,Leves,Total
,,Braga,1372,10836,56676,68884
REGIÃO,,Bragança,238,2798,10376,13412
NORTE,,Porto,1908,20793,140892,163593
,,V. Castelo,635,5349,18741,24725
,,Vila Real,360,3769,15074,19203
,,,4513,43545,241759,289817
,,Aveiro,1451,12416,51357,65224
,,C. Branco,302,4794,18209,23305
REGIÃO,,Coimbra,658,7556,41741,49955
CENTRO,,Guarda,232,4870,13892,18994
,,Leiria,1221,11170,40761,53152
,,Viseu,247,6942,28288,35477
,,,4111,47748,194248,246107
REGIÃO DE,,Lisboa,4650,44476,221679,270805
LISBOA,,Santarém,1790,13137,40399,55326
E VALE TEJO,,Setúbal,2428,17675,50102,70205
,,,8868,75288,312180,396336
,,Beja,302,4702,15567,20571
REGIÃO DO,,Évora,345,4818,18272,23435
ALENTEJO,,Portalegre,413,4877,8966,14256
,,,1060,14397,42805,58262
R. ALGARVE,,Faro,837,10446,41822,53105
,,,,,,
