,Vítimas mortais (*),,,População (milhares),,,Mortos/1000 hab.,,
,1999,2000,"00/99
%",1999,"2000
(1)","00/99
%",1999,2000,"00/99
%"
Alemanha,7.772,7.503,"-3,5",82.037,82.037,-,"0,09","0,09","-3,5"
Áustria,1.079,976,"-9,5",8.082,8.082,-,"0,13","0,12","-9,5"
Bélgica,1.379,1.470,"6,6",10.213,10.213,-,"0,14","0,14","6,6"
Dinamarca,514,498,"-3,1",5.313,5.313,-,"0,10","0,09","-3,1"
,,,,,,,,,
Espanha,5.738,5.776,"0,7",39.418,39.418,-,"0,15","0,15","0,7"
Finlândia,431,396,"-8,1",5.160,5.160,-,"0,08","0,08","-8,1"
França,8.478,8.079,"-4,7",58.967,58.967,-,"0,14","0,14","-4,7"
Grécia,2.116,-,,10.499,10.499,-,"0,20",-,
,,,,,,,,,
Irlanda,413,415,"0,5",3.744,3.744,-,"0,11","0,11","0,5"
Itália,-,6.410,,57.563,57.563,-,-,"0,11",
Luxemburgo,58,76,"31,0",429,429,-,"0,14","0,18","31,0"
P. Baixos,1.090,1.082,"-0,7",15.670,15.670,-,"0,07","0,07","-0,7"
,,,,,,,,,
Portugal,1.995,1.857,"-6,9",9.490,9.490,-,"0,21","0,20","-6,9"
Reino Unido,3.564,3.580,"0,4",59.500,59.500,-,"0,06","0,06","0,4"
Suécia,580,591,"1,9",8.854,8.854,-,"0,07","0,07","1,9"
