,,,,,,,,,,,,
,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,,,,,,,,,,,,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Velocidade excessiva,11906,11624,550,533,1903,1498,14889,14972,17342,17003,"4,6","4,6"
,,,,,,,,,,,,
Desresp. cedência passagem,4053,3815,76,81,444,318,4966,4755,5486,5154,"1,9","2,1"
Distracção,2927,3130,42,34,303,239,3457,3675,3802,3948,"1,4","1,1"
Desresp. de stop/ sinal vermelho,1849,1745,40,45,176,164,2505,2377,2721,2586,"2,2","2,6"
Desvio brusco/saída fila trânsito,1627,1485,89,92,247,221,2170,2095,2506,2408,"5,5","6,2"
Outra ultrapassagem irregular,1225,1123,52,57,209,158,1529,1492,1790,1707,"4,2","5,1"
Obstáculo imprev. faixa rodagem,859,735,29,31,118,68,896,817,1043,916,"3,4","4,2"
,,,,,,,,,,,,
Sonolência/Adormecimento,645,659,27,22,111,58,824,865,962,945,"4,2","3,3"
,,,,,,,,,,,,
Desresp. distâncias segurança,540,530,3,10,34,25,647,667,684,702,"0,6","1,9"
,,,,,,,,,,,,
Não sinaliz./má sinaliz. manobra,281,292,11,9,46,50,434,437,491,496,"3,9","3,1"
,,,,,,,,,,,,
Circ. sentido oposto estabelec.,386,288,10,8,40,22,456,335,506,365,"2,6","2,8"
,,,,,,,,,,,,
Encadeamento,311,276,20,25,79,60,416,371,515,456,"6,4","9,1"
,,,,,,,,,,,,
Rebentamento de pneumático,299,244,6,2,40,16,349,296,395,314,"2,0","0,8"
,,,,,,,,,,,,
Ultrap. c/ desrespeito da sinaliz.,245,224,13,8,30,29,318,283,361,320,"5,3","3,6"
,,,,,,,,,,,,
Pisar/transpôr linha long. cont.,151,144,4,4,17,12,192,187,213,203,"2,6","2,8"
,,,,,,,,,,,,
Circ. afastada da berma/passeio,158,139,4,6,24,22,253,201,281,229,"2,5","4,3"
,,,,,,,,,,,,
Doença súbita,118,125,9,4,8,12,124,134,141,150,"7,6","3,2"
Queda de carga ou objecto,55,46,0,0,6,2,62,56,68,58,"0,0","0,0"
Ausência luzes obrigatórias,54,44,4,8,9,3,60,42,73,53,"7,4","18,2"
Não identificada,14147,14728,455,464,1886,1695,16049,16961,18390,19120,"3,2","3,2"
Não definida,685,823,22,26,67,98,651,797,740,921,"3,2","3,2"
,,,,,,,,,,,,
Total,42521,42219,1466,1469,5797,4770,51247,51815,58510,58054,"3,4","3,5"
,,,,,,,,,,,,
