,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PSP,13396,13050,195,191,1712,1306,14930,14900,16837,16397,"1,5","1,5"
,,,,,,,,,,,,
Janeiro,1197,1121,15,22,204,105,1248,1239,1467,1366,"1,3","2,0"
,,,,,,,,,,,,
Fevereiro,1006,1016,16,18,169,100,1087,1150,1272,1268,"1,6","1,8"
,,,,,,,,,,,,
Março,1061,1143,13,17,161,108,1179,1307,1353,1432,"1,2","1,5"
,,,,,,,,,,,,
Abril,1017,1060,17,12,154,106,1114,1207,1285,1325,"1,7","1,1"
,,,,,,,,,,,,
Maio,1129,1124,15,19,160,125,1214,1269,1389,1413,"1,3","1,7"
,,,,,,,,,,,,
Junho,1180,1055,16,13,136,106,1350,1209,1502,1328,"1,4","1,2"
,,,,,,,,,,,,
Julho,1213,1136,21,14,136,123,1399,1306,1556,1443,"1,7","1,2"
,,,,,,,,,,,,
Agosto,1064,972,16,15,124,101,1244,1151,1384,1267,"1,5","1,5"
,,,,,,,,,,,,
Setembro,1124,999,12,10,116,83,1280,1162,1408,1255,"1,1","1,0"
,,,,,,,,,,,,
Outubro,1084,1144,19,22,104,100,1224,1290,1347,1412,"1,8","1,9"
,,,,,,,,,,,,
Novembro,1166,1149,20,13,125,123,1286,1327,1431,1463,"1,7","1,1"
,,,,,,,,,,,,
Dezembro,1155,1131,15,16,123,126,1305,1283,1443,1425,"1,3","1,4"
,,,,,,,,,,,,
GNR,29125,29169,1271,1278,4085,3464,36317,36915,41673,41657,"4,4","4,4"
,,,,,,,,,,,,
Janeiro,2160,2118,95,81,325,227,2626,2680,3046,2988,"4,4","3,8"
,,,,,,,,,,,,
Fevereiro,2165,2067,99,101,365,244,2654,2576,3118,2921,"4,6","4,9"
,,,,,,,,,,,,
Março,2138,2394,125,133,348,339,2595,3013,3068,3485,"5,8","5,6"
,,,,,,,,,,,,
Abril,2245,2212,80,112,328,245,2728,2721,3136,3078,"3,6","5,1"
,,,,,,,,,,,,
Maio,2333,2486,77,91,316,302,2933,3075,3326,3468,"3,3","3,7"
,,,,,,,,,,,,
Junho,2583,2569,107,93,403,294,3091,3323,3601,3710,"4,1","3,6"
,,,,,,,,,,,,
Julho,2830,2846,116,143,393,374,3606,3598,4115,4115,"4,1","5,0"
,,,,,,,,,,,,
Agosto,2851,2989,116,115,393,344,3775,4003,4284,4462,"4,1","3,8"
,,,,,,,,,,,,
Setembro,2441,2517,95,114,309,264,3083,3251,3487,3629,"3,9","4,5"
,,,,,,,,,,,,
Outubro,2413,2305,103,96,287,284,3073,2821,3463,3201,"4,3","4,2"
,,,,,,,,,,,,
Novembro,2467,2316,132,92,304,242,3014,2929,3450,3263,"5,4","4,0"
,,,,,,,,,,,,
Dezembro,2499,2350,126,107,314,305,3139,2925,3579,3337,"5,0","4,6"
,,,,,,,,,,,,
Total,42521,42219,1466,1469,5797,4770,51247,51815,58510,58054,"3,4","3,5"
,,,,,,,,,,,,
