,,,,,,,,
,Colisão,,Despiste,,Atropelamento,,Total,
,,,,,,,,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
,,,,,,,,
Velocípedes,1239,1215,133,143,57,55,1429,1413
,,,,,,,,
Ciclomotores,5332,4492,1584,1449,286,243,7202,6184
,,,,,,,,
Motociclos,3756,3398,1186,1154,364,275,5306,4827
,,,,,,,,
Veículos ligeiros (1),38015,37895,8631,9287,6250,6210,52896,53392
,,,,,,,,
Passageiros,28770,28645,6720,7209,4729,4670,40219,40524
,,,,,,,,
Mercadorias,7540,7509,1555,1726,1032,1037,10127,10272
,,,,,,,,
Veículos pesados (2),2798,2583,386,420,329,320,3513,3323
,,,,,,,,
Passageiros,599,591,49,48,183,186,831,825
,,,,,,,,
Mercadorias,1975,1765,292,318,121,118,2388,2201
,,,,,,,,
Outros veículos,431,406,99,128,33,30,563,564
,,,,,,,,
,,,,,,,,
Total,51571,49989,12019,12581,7319,7133,70909,69703
,,,,,,,,
