,,,,,,,,,
,1998,1999,99/98,2000,00/99,2001,01/00,2002,02/01
,,,,,,,,,
,,,,,,,,,
Vítimas mortais,356,345,-11,337,-8,296,-41,297,1
Dentro Localidade,226,226,0,219,-7,195,-24,197,2
Fora Localidade,130,119,-11,118,-1,101,-17,100,-1
,,,,,,,,,
Feridos Graves,1711,1537,-174,1365,-172,1098,-267,906,-192
,,,,,,,,,
Dentro Localidade,1507,1363,-144,1225,-138,959,-266,794,-165
,,,,,,,,,
Fora Localidade,204,174,-30,140,-34,139,-1,112,-27
,,,,,,,,,
Feridos Leves,6985,6845,-140,6474,-371,6589,115,6527,-62
,,,,,,,,,
Dentro Localidade,6351,6314,-37,5996,-318,6128,132,6090,-38
Fora Localidade,634,531,-103,478,-53,461,-17,437,-24
,,,,,,,,,
Total vítimas,9052,8727,-325,8176,-551,7983,-193,7730,-253
,,,,,,,,,
Dentro Localidade,8084,7903,-181,7440,-463,7282,-158,7081,-201
,,,,,,,,,
Fora Localidade,968,824,-144,736,-88,701,-35,649,-52
