,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
Segunda,121,115,427,364,4230,4105,4778,4584
,,,,,,,,
Terça,86,113,406,334,3652,4058,4144,4505
,,,,,,,,
Quarta,111,82,368,317,3843,3933,4322,4332
,,,,,,,,
Quinta,103,91,393,331,3890,3903,4386,4325
,,,,,,,,
Sexta,112,132,483,393,4471,4497,5066,5022
,,,,,,,,
Sábado,146,140,545,453,4307,4451,4998,5044
,,,,,,,,
Domingo,159,159,512,433,4257,4339,4928,4931
,,,,,,,,
Total,838,832,3134,2625,28650,29286,32622,32743
