,,,,,,,,,,
,Acidentes com,,Vítimas,,,,,,Total de,
,,,,,Feridos graves,,Feridos leves,,,
,vítimas,,mortais,,,,,,vítimas,
,,,,,,,,,,
,,,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,,,
Auto-Estrada,1809,1980,98,101,293,265,2504,2834,2895,3200
Estrada Nacional,12883,12691,630,682,2020,1684,16391,16491,19041,18857
,,,,,,,,,,
Dentro Localidade,6018,5844,222,237,785,631,7574,7448,8581,8316
Fora Localidade,6865,6847,408,445,1235,1053,8817,9043,10460,10541
IP/IC,1987,2139,187,160,447,306,2703,3009,3337,3475
,,,,,,,,,,
Dentro Localidade,254,186,6,9,36,18,307,245,349,272
Fora Localidade,1733,1953,181,151,411,288,2396,2764,2988,3203
Estrada Municipal,5225,5308,185,204,685,603,6328,6481,7198,7288
,,,,,,,,,,
Dentro Localidade,2313,2271,70,77,275,253,2717,2652,3062,2982
Fora Localidade,2912,3037,115,127,410,350,3611,3829,4136,4306
Arruamentos,19680,19280,318,274,2225,1784,22051,21925,24594,23983
,,,,,,,,,,
Outras (1),937,821,48,48,127,128,1270,1075,1445,1251
,,,,,,,,,,
Dentro Localidade,470,402,16,16,44,53,652,518,712,587
Fora Localidade,467,419,32,32,83,75,618,557,733,664
Total da rede,42521,42219,1466,1469,5797,4770,51247,51815,58510,58054
,,,,,,,,,,
Dentro Localidade,28735,27983,632,613,3365,2739,33301,32788,37298,36140
Fora Localidade,13786,14236,834,856,2432,2031,17946,19027,21212,21914
