,Vítimas mortais,,,,,,,
,Condutores,,Passageiros,,Peões,,Total de utentes,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
Auto-Estrada,52,57,37,35,9,9,98,101
Estrada Nacional,367,387,139,160,124,135,630,682
Dentro Localidade,125,135,32,34,65,68,222,237
Fora Localidade,242,252,107,126,59,67,408,445
IP/IC,93,99,74,45,20,16,187,160
Dentro Localidade,3,3,1,0,2,6,6,9
Fora Localidade,90,96,73,45,18,10,181,151
Estrada Municipal,126,136,33,44,26,24,185,204
Dentro Localidade,46,47,12,15,12,15,70,77
Fora Localidade,80,89,21,29,14,9,115,127
Arruamentos,166,122,39,45,113,107,318,274
Outras (1),34,31,10,11,4,6,48,48
Dentro Localidade,12,10,1,5,3,1,16,16
Fora Localidade,22,21,9,6,1,5,32,32
Total da rede,838,832,332,340,296,297,1466,1469
Dentro Localidade,352,317,85,99,195,197,632,613
Fora Localidade,486,515,247,241,101,100,834,856
