Vias,"Acidentes c/
vítimas","Vítimas mortais
(M)","Feridos graves
(FG)","Feridos leves
(FL)","Indicador gravidade
100xM+10xFG+3xFL"
A1,701,38,84,1072,7856
EN1,562,44,66,743,7289
EN125,524,36,74,614,6182
EN10,357,32,65,441,5173
IC1,394,30,48,515,5025
IC2,328,25,55,427,4331
EN2,459,18,62,618,4274
IP4,187,27,34,298,3934
A2,340,17,61,468,3714
EN13,284,21,24,387,3501
EN109,380,17,25,469,3357
EN18,178,21,37,208,3094
EN114,186,18,36,235,2865
EN118,219,15,44,276,2768
EN103,225,13,30,320,2560
IP5,185,13,40,265,2495
EN101,308,8,38,422,2446
A3,169,11,24,238,2054
EN17,169,11,23,217,1981
IP2,129,10,40,179,1937
EN15,214,7,22,269,1727
EN4,134,9,35,156,1718
EN202,141,9,22,186,1678
A4,135,9,5,212,1586
EN14,142,7,24,209,1567
A8,187,6,29,224,1562
EN3,151,8,14,204,1552
IP3,109,9,15,157,1521
EN120,97,10,14,116,1488
EN206,178,5,11,285,1465
IP1,140,7,17,195,1455
EN5,55,10,19,84,1442
