REGIÃO DO ALGARVE,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,197,231,217,231,258,239,314,339,243,237,217,198,2921
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,22,31,36,35,37,24,45,45,25,27,38,31,396
,,,,,,,,,,,,,,
Faro,Acid.com mortos,5,8,17,13,10,8,14,13,5,5,11,10,119
,,,,,,,,,,,,,,
,Mortos,8,8,23,14,12,9,15,17,7,5,11,12,141
,,,,,,,,,,,,,,
,F.Graves,20,32,27,23,32,23,48,41,23,24,30,30,353
,,,,,,,,,,,,,,
,F.Leves,217,272,250,247,292,284,372,417,303,273,240,228,3395
,,,,,,,,,,,,,,
