,,,"Não
infractores",Infractores,,,,Total de testes,,
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1,19",">=1,20 g/l",Total,Valor,,
,,,,,,,,,,%
,,,,,g/l,,,,,
,,,,,,,,,,
,,Braga,71219,623,680,768,2071,73290,,"8,1"
REGIÃO,,Bragança,15072,116,144,181,441,15513,,"1,7"
NORTE,,Porto,76344,420,495,903,1818,78162,,"8,6"
,,V. Castelo,30427,405,456,485,1346,31773,,"3,5"
,,Vila Real,14020,393,371,366,1130,15150,,"1,7"
,,,207082,1957,2146,2703,6806,213888,,"23,6"
,,Aveiro,88602,486,610,1025,2121,90723,,"10,0"
,,C. Branco,19560,186,223,480,889,20449,,"2,3"
REGIÃO,,Coimbra,52563,177,237,481,895,53458,,"5,9"
CENTRO,,Guarda,29138,143,150,223,516,29654,,"3,3"
,,Leiria,66100,673,641,896,2210,68310,,"7,5"
,,Viseu,63432,258,378,496,1132,64564,,"7,1"
,,,319395,1923,2239,3601,7763,327158,,"36,1"
,REGIÃO DE,Lisboa,115123,1838,1873,2401,6112,121235,,"13,4"
,LISBOA E,Santarém,29122,348,369,726,1443,30565,,"3,4"
,VALE TEJO,Setúbal,53255,658,839,1193,2690,55945,,"6,2"
,,,197500,2844,3081,4320,10245,207745,,"22,9"
,,Beja,32956,151,175,432,758,33714,,"3,7"
REGIÃO DO,,Évora,45166,187,198,336,721,45887,,"5,1"
ALENTEJO,,Portalegre,33906,131,170,252,553,34459,,"3,8"
,,,112028,469,543,1020,2032,114060,,"12,6"
,"REGIÃO
ALGARVE",Faro,41261,579,,1171,2359,43620,,
,,,,,609,,,,,"4,8"
,,,,,,,,,,
,TOTAL,,877266,7772,8618,12815,29205,906471,,"100,0"
