,,,"Não
infractores",Infractores,,,,Total de testes,
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1.19
g/l",">=1,20 g/l",Total,Valor,%
,,Duas rodas,1241,38,78,233,349,1590,"0,2"
,00-04,Ligeiros,100796,2495,2881,4032,9408,110204,"13,4"
,,,102037,2533,2959,4265,9757,111794,"13,6"
,,Duas rodas,739,34,21,80,135,874,"0,1"
,04-08,Ligeiros,47819,1530,2043,2620,6193,54012,"6,6"
,,,48558,1564,2064,2700,6328,54886,"6,7"
,,Duas rodas,2777,18,16,52,86,2863,"0,3"
,08-12,Ligeiros,185278,248,323,541,1112,186390,"22,7"
,,,188055,266,339,593,1198,189253,"23,1"
,,Duas rodas,3242,36,30,113,179,3421,"0,4"
,12-16,Ligeiros,155107,715,534,544,1793,156900,"19,1"
,,,158349,751,564,657,1972,160321,"19,5"
,,Duas rodas,3591,45,74,242,361,3952,"0,5"
,16-20,Ligeiros,170628,1113,1034,1578,3725,174353,"21,2"
,,,174219,1158,1108,1820,4086,178305,"21,7"
,,Duas rodas,2088,37,58,258,353,2441,"0,3"
,20-24,Ligeiros,118664,1260,1331,2269,4860,123524,"15,1"
,,,120752,1297,1389,2527,5213,125965,"15,4"
,,Duas rodas,13678,208,277,978,1463,15141,"1,8"
,Total,Ligeiros,778292,7361,8146,11584,27091,805383,"98,2"
,,,791970,7569,8423,12562,28554,820524,"100,0"
