,,,"Não
infractores",,Infractores,,,,Total de
,,,0.00-0.49 g/l,,0.50-0.79 g/l,0.80-1.19 g/l,">=1,20 g/l",Total,testes
,,Acidentes,"98,2",,"0,5","0,4","1,0","1,9",100
,16-20 anos,Manobras perigosas,"96,1",,"0,9","1,3","1,7","3,9",100
,,Aleatórias,"96,9",,"1,2","1,1","0,8","3,1",100
,,Acidentes,"97,1",,"0,5","0,7","1,7","2,9",100
,21-29 anos,Manobras perigosas,"93,9",,"1,5","1,9","2,8","6,2",100
,,Aleatórias,"96,2",,"1,2","1,3","1,3","3,8",100
,,Acidentes,"96,0",,"0,6","0,8","2,6","4,0",100
,30-39 anos,Manobras perigosas,"93,6",,"1,3","1,9","3,2","6,4",100
,,Aleatórias,"96,7",,"0,8","1,0","1,4","3,2",100
,,Acidentes,"95,9",,"0,6","0,8","2,6","4,0",100
,40-49 anos,Manobras perigosas,"94,4",,"1,4","1,5","2,8","5,7",100
,,Aleatórias,"97,2",,"0,8","0,8","1,1","2,7",100
,,Acidentes,"97,2",,"0,6","0,6","1,6","2,8",100
,>=50 anos,Manobras perigosas,"96,0",,"1,1","1,0","1,9","4,0",100
,,Aleatórias,"97,8",,"0,8","0,7","0,7","2,2",100
