,TIPO DE INFRACÇÃO,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso de álcool no sangue,10432,
,Excesso de velocidade,9978,
,Ultrapassagem proibida (pela direita / s/ verificar se outro veículo iniciou a ultrapassagem),1666,
,Infracção relativa à iluminação e utilização de luzes,788,
,Marcha atrás em auto-estrada,484,
,Paragem ou estacionamento proibido,435,
,Sub-total,23783,
Infracções Graves,,,
,Excesso de velocidade,99706,
,Desrespeito da obrigação de parar,28243,
,Transpor linha longitudinal contínua (Marca MI) delimitadora dos sentidos de trânsito,24189,
,Desrespeito dos sinais de proibição (sentido proibido e proibição de virar),16955,
,Condução com excesso de álcool no sangue,8570,
,Paragem/estacionamento em berma de auto-estrada,3492,
,Não respeito pelos peões nas passadeiras de peões,2391,
,Sub-total,183546,
Infracções Leves,,,
,Paragem ou estacionamento proibido,353214,
,Não utilização do cinto de segurança pelo condutor ou passageiro,80553,
,Condução de veículos sem documentos legalmente exigidos,53580,
,Não sujeição a inspecção periódica no prazo legal,42008,
,"Utilização, durante a marcha, de auscultadores sonoros",41514,
,Excesso de velocidade,36046,
,Utilização luzes nevoeiro s/ que as condições meteorol.o justifiquem,19018,
,Sub-total,625933,
