,,CONTRA-ORDENAÇÕES,,,,
,,M. Graves,Graves,Leves,,
,,,,,,Total
,,,,,,
Janeiro,,1744,16554,73178,,91476
,,,,,,
,Fevereiro,1265,12874,59181,,73320
Março,,2004,18786,83202,,103992
,,,,,,
Abril,,2113,21167,97055,,120335
,,,,,,
,Maio,2526,21173,97224,,120923
Junho,,1742,15743,67102,,84587
,,,,,,
Julho,,2096,19957,78688,,100741
,,,,,,
,Agosto,1813,15449,74751,,92013
Setembro,,2591,22869,96139,,121599
,,,,,,
Outubro,,2560,23078,98122,,123760
,,,,,,
,Novembro,1718,17760,88545,,108023
Dezembro,,2135,19139,74366,,95640
,,,,,,
Total,,24.307,224.549,987.553,,
,,,,,,1.236.409
,,,,,,
