,Vítimas mortais 1,,,"População 2
(milhares)",,,Mortos/1000 hab.,,
,2000,2001,"01/00
%",2000,2001,"01/00
%",2000,2001,"01/00
%"
Alemanha,7.503,6.977,"-7,0",82.037,82.037,-,"0,09","0,09","-7,0"
Áustria,976,958,"-1,8",8.082,8.082,-,"0,12","0,12","-1,8"
Bélgica,1.470,-,-,10.213,10.213,-,"0,14",-,-
Dinamarca,498,415,"-16,7",5.313,5.313,-,"0,09","0,08","-16,7"
,,,,,,,,,
Espanha,5.776,5.518,"-4,5",39.418,39.418,-,"0,15","0,14","-4,5"
Finlândia,396,438,"10,6",5.160,5.160,-,"0,08","0,08","10,6"
França,8.079,8.160,"1,0",58.967,58.967,-,"0,14","0,14","1,0"
Grécia,-,1.849,-,10.499,10.499,-,-,"0,18",-
,,,,,,,,,
Irlanda,415,414,"-0,2",3.744,3.744,-,"0,11","0,11","-0,2"
Itália,6.410,-,-,57.563,57.563,-,"0,11",-,-
Luxemburgo,76,64,"-15,8",429,429,-,"0,18","0,15","-15,8"
P. Baixos,1.082,1.065,"-1,6",15.670,15.670,-,"0,07","0,07","-1,6"
,,,,,,,,,
Portugal,1.857,1.671,"-10,0",9.490,9.490,-,"0,20","0,18","-10,0"
Reino Unido,3.580,3.598,"0,5",59.500,59.500,-,"0,06","0,06","0,5"
Suécia,591,583,"-1,4",8.854,8.854,-,"0,07","0,07","-1,4"
